ELSI Export,,,,
,,,,
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/,,,,
,,,,
This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC,,,,
,,,,
Agency Name,State Name [District] Latest available year,Agency Name [District] 2021-22,County Number [District] 2021-22,Agency ID - NCES Assigned [District] Latest available year
ACTON-AGUA DULCE UNIFIED,California,Acton-Agua Dulce Unified,06037,0600001
ACTON-BOXBOROUGH,Massachusetts,Acton-Boxborough,25017,2501710
ACUSHNET,Massachusetts,Acushnet,25005,2501740
AD PRIMA CS,Pennsylvania,Ad Prima CS,42101,4200129
ADA,Oklahoma,ADA,40123,4002430
ADA EXEMPTED VILLAGE,Ohio,Ada Exempted Village,39065,3904518
ADA-BORUP-WEST PUBLIC SCHOOLS,MINNESOTA,Ada-Borup-West Public Schools,27107,2700480
ADAIR,Oklahoma,ADAIR,40097,4002460
ADAIR CO. R-I,Missouri,ADAIR CO. R-I,29001,2922980
ADAIR CO. R-II,Missouri,ADAIR CO. R-II,29001,2905790
ADAIR COUNTY,Kentucky,Adair County,21001,2100030
ADAIR-CASEY COMM SCHOOL DISTRICT,Iowa,Adair-Casey Comm School District,19077,1903090
ADAM/BRWN/CASS/MORGN/PIK/SCTT ROE,Illinois,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,17001,1700162
ADAMS 1 MAPLETON AU,Colorado,Adams 1 Mapleton AU,08001,0800258
ADAMS 12 FIVE STAR SCHOOLS,Colorado,Adams 12 Five Star Schools,08001,0806900
ADAMS 12 NORTHGLENN AU,Colorado,Adams 12 Northglenn AU,08001,0800268
ADAMS 14 COMMERCE CITY AU,Colorado,Adams 14 Commerce City AU,08001,0800272
ADAMS 27J SCHOOL DISTRICT 27J AU,Colorado,Adams 27J School District 27J AU,08001,0800237
ADAMS CENTRAL COMMUNITY SCHOOLS,Indiana,Adams Central Community Schools,18001,1800060
ADAMS CENTRAL PUBLIC SCHOOLS,Nebraska,ADAMS CENTRAL PUBLIC SCHOOLS,31001,3102770
ADAMS COUNTY BOCES,Colorado,Adams County BOCES,08001,0800009
ADAMS COUNTY OHIO VALLEY LOCAL,Ohio,Adams County Ohio Valley Local,39001,3906190
ADAMS COUNTY TECHNICAL INSTITUTE,PENNSYLVANIA,Adams County Technical Institute,42001,4200905
ADAMS TOWNSHIP SCHOOL DISTRICT,Michigan,Adams Township School District,26061,2601890
ADAMS-ARAP 28J AURORA AU,Colorado,Adams-Arap 28J Aurora AU,08005,0800255
ADAMS-FRIENDSHIP AREA SCHOOL DISTRICT,Wisconsin,Adams-Friendship Area School District,55001,5500060
ADDISON CENTRAL SCHOOL DISTRICT,New York,ADDISON CENTRAL SCHOOL DISTRICT,36101,3602370
ADDISON CENTRAL SUPERVISORY DISTRICT,Vermont,Addison Central Supervisory Union,50001,5099903
ADDISON CENTRAL UNIFIED UNION SCHOOL DISTRICT #55,VERMONT,Addison Central Unified School District,50001,5000402
ADDISON COMMUNITY SCHOOLS,Michigan,Addison Community Schools,26091,2601920
ADDISON NORTHWEST SUPERVISORY DISTRICT,Vermont,Addison Northwest Supervisory Union,50001,5099902
ADDISON NORTHWEST UNIFIED UNION SCHOOL DISTRICT #54,VERMONT,Addison Northwest Unified School District,50001,5000398
ADDISON SD 4,Illinois,Addison SD 4,17043,1703150
ADEL DESOTO MINBURN COMM SCHOOL DISTRICT,Iowa,Adel DeSoto Minburn Comm School District,19049,1903150
ADEL SD 21,Oregon,Adel SD 21,41037,4100990
ADELANTE CHARTER DISTRICT,CALIFORNIA,Adelante Charter District,06083,0602343
ADELANTE SCHOOLS,INDIANA,Adelante Schools,18097,1800216
ADELANTO ELEMENTARY,California,Adelanto Elementary,06071,0601710
ADELINE MONTESSORI SCHOOL INC,WISCONSIN,Adeline Montessori School Inc Agency,55133,5500089
ADENA LOCAL,Ohio,Adena Local,39141,3904949
ADIRONDACK CENTRAL SCHOOL DISTRICT,New York,ADIRONDACK CENTRAL SCHOOL DISTRICT,36065,3605040
ADLAI E STEVENSON HSD 125,Illinois,Adlai E Stevenson HSD 125,17097,1732580
ADMIRAL PEARY AREA VOCATIONAL-TECHNICAL SCHOOL,Pennsylvania,Admiral Peary AVTS,42021,4280120
ADNA SCHOOL DISTRICT,Washington,Adna School District,53041,5300060
ADRIAN ISD,Texas,ADRIAN ISD,48359,4807500
ADRIAN PUBLIC SCHOOL DISTRICT,Minnesota,ADRIAN PUBLIC SCHOOL DISTRICT,27105,2702730
ADRIAN PUBLIC SCHOOLS,Michigan,Adrian Public Schools,26091,2601950
ADRIAN R-III,Missouri,ADRIAN R-III,29013,2902850
ADRIAN SD 61,Oregon,Adrian SD 61,41045,4101020
ADVANCE R-IV,Missouri,ADVANCE R-IV,29207,2902880
ADVANCED MATH AND SCIENCE ACADEMY CHARTER (DISTRICT),Massachusetts,Advanced Math and Science Academy Charter (District),25017,2500085
ADVANCED TECHNOLOGY ACADEMY,Michigan,Advanced Technology Academy,26163,2600255
ADVANTAGE ACADEMY,Texas,ADVANTAGE ACADEMY,48113,4800041
ADVANTAGE ARTS ACADEMY,UTAH,Advantage Arts Academy,49035,4900198
ADVANTAGE CHARTER ACADEMY,LOUISIANA,Advantage Charter Academy,22033,2200268
AEA 13 GREEN HILLS AEA,Iowa,AEA 13 Green Hills AEA,19155,1999013
AECI II:  NYC CHARTER HS,NEW YORK,AECI II:  NYC CHARTER HS-COMP ENGIN,36005,3601195
AEROSTEM ACADEMY DISTRICT,CALIFORNIA,AeroSTEM Academy District,06101,0601724
AFFTON 101,Missouri,AFFTON 101,29189,2902910
AFSA HIGH SCHOOL,Minnesota,AFSA HIGH SCHOOL,27123,2700186
AFTON,Oklahoma,AFTON,40115,4002520
AFTON CENTRAL SCHOOL DISTRICT,New York,AFTON CENTRAL SCHOOL DISTRICT,36017,3602400
AGAMIM CLASSICAL ACADEMY,Minnesota,Agamim Classical Academy,27053,2700394
AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3,South Dakota,Agar-Blunt-Onida School District 58-3,46119,4600042
AGATE SCHOOL DISTRICT NO. 300,Colorado,Agate School District No. 300,08039,0801980
AGAWAM,Massachusetts,Agawam,25013,2501800
AGBU ALEX-MARIE MANOOGIAN SCHOOL,Michigan,AGBU Alex-Marie Manoogian School,26125,2600106
AGNES J. JOHNSON CHARTER DISTRICT,CALIFORNIA,Agnes J. Johnson Charter District,06023,0602543
AGORA CYBER CS,Pennsylvania,Agora Cyber CS,42091,4200140
AGRA,Oklahoma,AGRA,40081,4002550
AGUA DULCE ISD,Texas,AGUA DULCE ISD,48355,4807530
AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289),Arizona,Agua Fria Union High School District (4289),04013,0400450
AGUILA ELEMENTARY DISTRICT (4249),Arizona,Aguila Elementary District (4249),04013,0400480
AGUILAR REORGANIZED SCHOOL DISTRICT NO. 6,Colorado,Aguilar Reorganized School District No. 6,08071,0802010
AGWSR COMM SCHOOL DISTRICT,Iowa,AGWSR Comm School District,19083,1903060
AHSTW COMM SCHOOL DISTRICT,Iowa,AHSTW Comm School District,19155,1904080
AIBT NON-PROFIT CHARTER HIGH SCHOOL - PHOENIX (79053),Arizona,AIBT Non-Profit Charter High School - Phoenix (79053),04013,0400274
AIBT NON-PROFIT CHARTER HIGH SCHOOL INC. (449790),ARIZONA,AIBT Non-Profit Charter High School Inc. (449790),04013,0400970
AIKEN 01,South Carolina,Aiken 01,45003,4500720
AIM ACADEMY OF SCIENCE & TECHNOLOGY,MINNESOTA,Aim Academy of Science & Technology,27053,2700469
AIMS COLLEGE PREP HIGH DISTRICT,CALIFORNIA,American Indian Public High District,06001,0602227
AIMS COLLEGE PREP MIDDLE DISTRICT,CALIFORNIA,American Indian Public Charter District,06001,0601479
AINSWORTH COMMUNITY SCHOOLS,Nebraska,AINSWORTH COMMUNITY SCHOOLS,31017,3102790
AIRLINE CSD,Maine,Airline CSD,23019,2302500
AIRPORT COMMUNITY SCHOOLS,Michigan,Airport Community Schools,26115,2601980
AITKIN PUBLIC SCHOOL DISTRICT,Minnesota,AITKIN PUBLIC SCHOOL DISTRICT,27001,2702760
AJO UNIFIED DISTRICT (4409),Arizona,Ajo Unified District (4409),04019,0400520
AKILI ACADEMY OF NEW ORLEANS,LOUISIANA,Akili Academy of New Orleans,22071,2200208
AKIMEL O OTHAM PEE POSH CHARTER SCHOOL INC. (5978),Arizona,Akimel O Otham Pee Posh Charter School Inc. (5978),04021,0400403
AKIMEL O'OTHAM PEE POSH CHARTER SCHOOL INC. (78966),Arizona,Akimel O'Otham Pee Posh Charter School Inc. (78966),04021,0400404
AKIN CCSD 91,Illinois,Akin CCSD 91,17055,1703210
AKRON CAREER TECH HIGH SCHOOL,OHIO,Akron Career Tech High School,39153,3901631
AKRON CENTRAL SCHOOL DISTRICT,New York,AKRON CENTRAL SCHOOL DISTRICT,36029,3602430
AKRON CITY,Ohio,Akron City,39153,3904348
AKRON PREPARATORY SCHOOL,Ohio,Akron Preparatory School,39153,3901503
AKRON SCHOOL DISTRICT NO. R-1,Colorado,Akron School District No. R-1,08121,0802040
AKRON WESTFIELD COMM SCHOOL DISTRICT,Iowa,Akron Westfield Comm School District,19149,1903220
AKRON-FAIRGROVE SCHOOLS,Michigan,Akron-Fairgrove Schools,26157,2602010
AKROS MIDDLE SCHOOL,Ohio,Akros Middle School,39153,3901428
AL INST DEAF AND BLIND,Alabama,Al Inst Deaf And Blind,01121,0100009
AL SCH OF MATH AND SCIENCE,Alabama,Al Sch Of Math And Science,01097,0100010
ALA CHARLOTTE,North Carolina,Aristotle Preparatory Academy,37119,3700350
ALABAMA AEROSPACE AND AVIATION,ALABAMA,Alabama Aerospace and Aviation,01073,0100213
ALABAMA SCHOOL OF CYBER TECHNOLOGY AND ENGINEERING,ALABAMA,Alabama School of Cyber Technology and Engineering,01089,0100212
ALABAMA SCHOOL OF FINE ARTS,Alabama,Alabama School of Fine Arts,01073,0100018
