ELSI Export,,,,
,,,,
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/,,,,
,,,,
This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC,,,,
,,,,
Agency Name,State Name [District] Latest available year,Agency Name [District] 2021-22,County Number [District] 2021-22,Agency ID - NCES Assigned [District] Latest available year
ALBERT EINSTEIN ACADEMY FOR LETTERS ARTS AND SCIENCES-OHIO,Ohio,Albert Einstein Academy for Letters Arts and Sciences-Ohio,39035,3901539
ALBERT GALLATIN AREA SD,Pennsylvania,Albert Gallatin Area SD,42051,4202100
ALBERT LEA PUBLIC SCHOOL DISTRICT,Minnesota,ALBERT LEA PUBLIC SCHOOL DISTRICT,27047,2702970
ALBERTON K-12 SCHOOLS,Montana,Alberton K-12 Schools,30061,3001860
ALBERTVILLE CITY,Alabama,Albertville City,01095,0100005
ALBIA COMM SCHOOL DISTRICT,Iowa,Albia Comm School District,19135,1903270
ALBION,Oklahoma,ALBION,40127,4002580
ALBION CENTRAL SCHOOL DISTRICT,New York,ALBION CENTRAL SCHOOL DISTRICT,36073,3602520
ALBUQUERQUE,New Mexico,ALBUQUERQUE PUBLIC SCHOOLS,35001,3500060
ALBUQUERQUE BILINGUAL ACADEMY,New Mexico,ALBUQUERQUE BILINGUAL ACADEMY,35001,3500134
ALBUQUERQUE COLLEGIATE CHARTER SCHOOL,NEW MEXICO,ALBUQUERQUE COLLEGIATE CHARTER SCHOOL,35001,3500181
ALBUQUERQUE INSTITUTE OF MATH & SCIENCE,New Mexico,ALBUQUERQUE INSTITUTE OF MATH & SCIENCE,35001,3500130
ALBURGH SCHOOL DISTRICT,Vermont,Alburg School District,50013,5001770
ALBURNETT COMM SCHOOL DISTRICT,Iowa,Alburnett Comm School District,19113,1903300
ALCESTER-HUDSON SCHOOL DISTRICT 61-1,South Dakota,Alcester-Hudson School District 61-1,46127,4600028
ALCOA,Tennessee,Alcoa,47009,4700060
ALCONA COMMUNITY SCHOOLS,Michigan,Alcona Community Schools,26001,2602160
ALCORN SCHOOL DIST,Mississippi,ALCORN SCHOOL DIST,28003,2800390
ALDEN CENTRAL SCHOOL DISTRICT,New York,ALDEN CENTRAL SCHOOL DISTRICT,36029,3602550
ALDEN COMM SCHOOL DISTRICT,Iowa,Alden Comm School District,19083,1900032
ALDEN HEBRON SD 19,Illinois,Alden Hebron SD 19,17111,1703300
ALDEN-CONGER PUBLIC SCHOOL DISTRICT,Minnesota,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,27047,2703030
ALDER ELEM,Montana,Alder Elem,30057,3017460
ALDER GROVE CHARTER SCHOOL 2 DISTRICT,CALIFORNIA,Alder Grove Charter School 2 District,06023,0602072
ALDINE ISD,Texas,ALDINE ISD,48201,4807710
ALDO LEOPOLD CHARTER,New Mexico,ALDO LEOPOLD CHARTER,35017,3500138
ALEDO ISD,Texas,ALEDO ISD,48367,4807780
ALEGENT/IMMANUEL RTC,Nebraska,ALEGENT/IMMANUEL RTC,31055,3100181
ALEUTIAN REGION SCHOOL DISTRICT,Alaska,Aleutian Region School District,02020,0200010
ALEUTIANS EAST BOROUGH SCHOOL DISTRICT,Alaska,Aleutians East Borough School District,02013,0200007
ALEX,Oklahoma,ALEX,40051,4002670
ALEXANDER 2,North Dakota,ALEXANDER 2,38053,3801760
ALEXANDER CENTRAL SCHOOL DISTRICT,New York,ALEXANDER CENTRAL SCHOOL DISTRICT,36037,3602580
ALEXANDER CITY,Alabama,Alexander City,01123,0100030
ALEXANDER COUNTY SCHOOLS,North Carolina,Alexander County Schools,37003,3700090
ALEXANDER LOCAL,Ohio,Alexander Local,39009,3904590
ALEXANDER PUBLIC SCHOOLS,Maine,Alexander Public Schools,23029,2302280
ALEXANDER VALLEY UNION ELEMENTARY,California,Alexander Valley Union Elementary,06097,0601890
ALEXANDRIA CENTRAL SCHOOL DISTRICT,New York,ALEXANDRIA CENTRAL SCHOOL DISTRICT,36045,3602670
ALEXANDRIA CITY PUBLIC SCHOOLS,Virginia,ALEXANDRIA CITY PBLC SCHS,51510,5100120
ALEXANDRIA COMMUNITY SCHOOL CORP,Indiana,Alexandria Community School Corp,18095,1800120
ALEXANDRIA PUBLIC SCHOOL DISTRICT,Minnesota,ALEXANDRIA PUBLIC SCHOOL DISTRICT,27041,2703060
ALEXANDRIA TOWNSHIP SCHOOL DISTRICT,New Jersey,Alexandria Township School District,34019,3400690
ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,New York,ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,36003,3602700
ALGOMA SCHOOL DISTRICT,Wisconsin,Algoma School District,55061,5500150
ALGONA COMM SCHOOL DISTRICT,Iowa,Algona Comm School District,19109,1903360
ALGONAC COMMUNITY SCHOOL DISTRICT,Michigan,Algonac Community School District,26147,2602190
ALHAMBRA ELEMENTARY DISTRICT (4280),Arizona,Alhambra Elementary District (4280),04013,0400600
ALHAMBRA UNIFIED,California,Alhambra Unified,06037,0600153
ALICE ISD,Texas,ALICE ISD,48249,4807800
ALICE M HARTE ELEMENTARY CHARTER SCHOOL,LOUISIANA,Alice M. Harte Elementary Charter School,22071,2200279
ALIEF ISD,Texas,ALIEF ISD,48201,4807830
ALIEF MONTESSORI COMMUNITY SCHOOL,Texas,ALIEF MONTESSORI COMMUNITY SCHOOL,48201,4800035
ALINE-CLEO,Oklahoma,ALINE-CLEO,40003,4002720
ALIQUIPPA SD,Pennsylvania,Aliquippa SD,42007,4202130
ALISAL UNION,California,Alisal Union,06053,0601950
ALL ABOARD CHARTER SCHOOL (79969),Arizona,All Aboard Charter School (79969),04013,0400396
ALL TRIBES CHARTER DISTRICT,CALIFORNIA,All Tribes Charter District,06073,0601989
ALL TRIBES ELEMENTARY CHARTER DISTRICT,CALIFORNIA,All Tribes Elementary Charter District,06073,0601521
ALLAMAKEE COMM SCHOOL DISTRICT,Iowa,Allamakee Comm School District,19005,1903390
ALLAMUCHY TOWNSHIP SCHOOL DISTRICT,New Jersey,Allamuchy Township School District,34041,3400720
ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,Michigan,Allegan Area Educational Service Agency,26005,2680100
ALLEGAN PUBLIC SCHOOLS,Michigan,Allegan Public Schools,26005,2602220
ALLEGANY COUNTY PUBLIC SCHOOLS,Maryland,Allegany County Public Schools,24001,2400030
ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,New York,ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,36009,3600015
ALLEGHANY COUNTY SCHOOLS,North Carolina,Alleghany County Schools,37005,3700120
ALLEGHANY HIGHLANDS PUBLIC SCHOOLS,Virginia,ALLEGHANY CO PBLC SCHS,51005,5100152
ALLEGHENY IU 3,Pennsylvania,Allegheny IU 3,42003,4289130
ALLEGHENY VALLEY SD,Pennsylvania,Allegheny Valley SD,42003,4202190
ALLEGHENY-CLARION VALLEY SD,Pennsylvania,Allegheny-Clarion Valley SD,42031,4202310
ALLEGIANCE STEAM ACADEMY - THRIVE DISTRICT,CALIFORNIA,Allegiance STEAM Academy - Thrive District,06071,0602175
ALLEGIANT PREPARATORY ACADEMY,INDIANA,Allegiant Preparatory Academy,18097,1800199
ALLEN,Oklahoma,ALLEN,40123,4002760
ALLEN CONSOLIDATED SCHOOLS,Nebraska,ALLEN CONSOLIDATED SCHOOLS,31051,3102880
ALLEN COUNTY,Kentucky,Allen County,21003,2100070
ALLEN COUNTY ESC,Ohio,Allen County ESC,39003,3904574
ALLEN EAST LOCAL,Ohio,Allen East Local,39003,3904575
ALLEN ISD,Texas,ALLEN ISD,48085,4807890
ALLEN PARISH,Louisiana,Allen Parish,22003,2200060
ALLEN PARK PUBLIC SCHOOLS,Michigan,Allen Park Public Schools,26163,2602520
ALLEN VILLAGE,Missouri,ALLEN VILLAGE,29095,2900025
ALLEN-BOWDEN,Oklahoma,ALLEN-BOWDEN,40037,4002790
ALLEN-COCHRAN ENTERPRISES INC. (4347),Arizona,Allen-Cochran Enterprises Inc. (4347),04013,0400111
ALLEN-OTTER CREEK CCSD 65,Illinois,Allen-Otter Creek CCSD 65,17099,1703420
ALLENDALE 01,South Carolina,Allendale 01,45005,4500750
ALLENDALE CCSD 17,Illinois,Allendale CCSD 17,17185,1703450
ALLENDALE PUBLIC SCHOOL DISTRICT,New Jersey,Allendale Public School District,34003,3400750
ALLENDALE PUBLIC SCHOOLS,Michigan,Allendale Public Schools,26139,2602550
ALLENHURST SCHOOL DISTRICT,New Jersey,Allenhurst School District,34025,3400780
ALLENSTOWN SCHOOL DISTRICT,New Hampshire,Allenstown School District,33013,3301380
ALLENSWORTH ELEMENTARY,California,Allensworth Elementary,06107,0601980
ALLENTOWN CITY SD,Pennsylvania,Allentown City SD,42077,4202280
ALLIANCE ACADEMY OF CINCINNATI,Ohio,Alliance Academy of Cincinnati,39061,3900130
ALLIANCE CINDY AND BILL SIMON TECH ACAD HIGH DIST,CALIFORNIA,Alliance Cindy and Bill Simon Technology ACAD High District,06037,0602119
ALLIANCE CITY,Ohio,Alliance City,39151,3904349
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 12 DISTRICT,CALIFORNIA,Alliance College-Ready Middle Academy 12 District,06037,0602453
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 4 DISTRICT,CALIFORNIA,Alliance College-Ready Middle Academy 4 District,06037,0601865
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 8 DISTRICT,CALIFORNIA,Alliance College-Ready Middle Academy 8 District,06037,0601589
ALLIANCE COLLINS FAMILY COLLEGE-READY HIGH DISTRICT,CALIFORNIA,Alliance Collins Family College-Ready High District,06037,0601666
ALLIANCE COMMUNITY SCHOOLS INC. DBA DAYTON LEADERSHIP ACADE,Ohio,Dayton Leadership Academies-Dayton View Campus,39113,3900083
ALLIANCE DR. OLGA MOHAN HIGH DISTRICT,CALIFORNIA,Alliance Dr. Olga Mohan High District,06037,0601926
ALLIANCE FOR PROGRESS CS,Pennsylvania,Alliance for Progress CS,42101,4200039
ALLIANCE GERTZ-RESSLER RICHARD MERKIN 6-12 COMPLEX DISTRICT,CALIFORNIA,Alliance Gertz-Ressler Richard Merkin 6-12 Complex District,06037,0602176
ALLIANCE JACK H. SKIRBALL MIDDLE DISTRICT,CALIFORNIA,Alliance Jack H. Skirball Middle District,06037,0601694
ALLIANCE JUDY IVIE BURTON TECHNOLOGY ACADEMY HIGH DISTRICT,CALIFORNIA,Alliance Judy Ivie Burton Technology Academy High District,06037,0601934
ALLIANCE KORY HUNTER MIDDLE DISTRICT,CALIFORNIA,Alliance Kory Hunter Middle District,06037,0601542
ALLIANCE LEICHTMAN-LEVINE FAM FOUNDATION ENV SCI HIGH DIST,CALIFORNIA,Alliance Leichtman-Levine FAM Foundation Env Sci High DIST,06037,0601690
ALLIANCE MARC & EVA STERN MATH AND SCIENCE DISTRICT,CALIFORNIA,Alliance Marc & Eva Stern Math and Science District,06037,0602446
ALLIANCE MARGARET M. BLOOMFIELD TECH ACAD HIGH DIST,CALIFORNIA,Alliance Margaret M.Bloomfield Technology ACAD High District,06037,0601707
ALLIANCE MARINE - INNOVATION AND TECH 6-12 COMPLEX DIST,CALIFORNIA,Alliance Marine - Innovation and Techn 6-12 Complex District,06037,0601835
ALLIANCE MORGAN MCKINZIE HIGH DISTRICT,CALIFORNIA,Alliance Morgan McKinzie High District,06037,0602407
ALLIANCE OUCHI-O'DONOVAN 6-12 COMPLEX DISTRICT,CALIFORNIA,Alliance Ouchi-O'Donovan 6-12 Complex District,06037,0602266
ALLIANCE PATTI AND PETER NEUWIRTH LEADERSHIP ACAD DIST,CALIFORNIA,Alliance Patti & Peter Neuwirth Leadership Academy District,06037,0602362
ALLIANCE PIERA BARBAGLIA SHAHEEN HLT SRVS ACAD DIST,CALIFORNIA,Alliance Piera Barbaglia Shaheen HLT SRVs Academy District,06037,0601900
ALLIANCE PUBLIC SCHOOLS,Nebraska,ALLIANCE PUBLIC SCHOOLS,31013,3102910
ALLIANCE RENEE AND MEYER LUSKIN ACADEMY HIGH DISTRICT,CALIFORNIA,Alliance Renee and Meyer Luskin Academy High District,06037,0602279
ALLIANCE SUSAN AND ERIC SMIDT TECHNOLOGY HIGH DISTRICT,CALIFORNIA,Alliance Susan and Eric Smidt Technology High District,06037,0602190
ALLIANCE TED K. TAJIMA HIGH DISTRICT,CALIFORNIA,Alliance Ted K. Tajima High District,06037,0601568
ALLIANCE TENNENBAUM FAMILY TECHNOLOGY HIGH DISTRICT,CALIFORNIA,Alliance Tennenbaum Family Technology High District,06037,0602289
ALLIANCE VIRGIL ROBERTS LEADERSHIP ACADEMY DISTRICT,CALIFORNIA,Alliance Virgil Roberts Leadership Academy District,06037,0601654
ALLOWAY TWP SCHOOL DISTRICT,New Jersey,Alloway Twp School District,34033,3400810
ALMA CENTER SCHOOL DISTRICT,Wisconsin,Alma Center School District,55053,5500210
ALMA D'ARTE CHARTER,New Mexico,ALMA D'ARTE CHARTER,35013,3500116
ALMA DEL MAR CHARTER SCHOOL (DISTRICT),Massachusetts,Alma del Mar Charter School (District),25005,2500525
ALMA FUERTE PUBLIC DISTRICT,CALIFORNIA,Alma Fuerte Public District,06037,0602408
ALMA PUBLIC SCHOOLS,Nebraska,ALMA PUBLIC SCHOOLS,31083,3100080
ALMA PUBLIC SCHOOLS,Michigan,Alma Public Schools,26057,2602640
ALMA SCHOOL DISTRICT,Wisconsin,Alma School District,55011,5500180
ALMA SCHOOL DISTRICT,Arkansas,ALMA SCHOOL DISTRICT,05033,0502250
ALMIRA SCHOOL DISTRICT,Washington,Almira School District,53043,5300090
ALMOND ACRES CHARTER ACADEMY DISTRICT,CALIFORNIA,Almond Acres Charter Academy District,06079,0601943
ALMOND-BANCROFT SCHOOL DISTRICT,Wisconsin,Almond-Bancroft School District,55097,5500240
ALMONT COMMUNITY SCHOOLS,Michigan,Almont Community Schools,26087,2602670
ALPAUGH UNIFIED,California,Alpaugh Unified,06107,0602010
ALPENA PUBLIC SCHOOLS,Michigan,Alpena Public Schools,26007,2602730
ALPENA SCHOOL DISTRICT,Arkansas,ALPENA SCHOOL DISTRICT,05009,0502280
ALPENA-MONTMORENCY-ALCONA ESD,Michigan,Alpena-Montmorency-Alcona ESD,26007,2680120
ALPHA ACADEMY,North Carolina,Alpha Academy,37051,3700103
ALPHA BOROUGH SCHOOL DISTRICT,New Jersey,Alpha Borough School District,34041,3400840
ALPHA CINDY AVITIA HIGH DISTRICT,CALIFORNIA,Alpha Cindy Avitia High District,06085,0601636
ALPHA: BLANCA ALVARADO DISTRICT,CALIFORNIA,Alpha: Blanca Alvarado District,06085,0602221
ALPHA: CORNERSTONE ACADEMY PREPARATORY DISTRICT,CALIFORNIA,Alpha: Cornerstone Academy Preparatory District,06085,0601671
ALPHA: JOSE HERNANDEZ DISTRICT,CALIFORNIA,Alpha: Jose Hernandez District,06085,0602144
ALPINE COUNTY OFFICE OF EDUCATION,California,Alpine County Office of Education,06003,0691058
ALPINE COUNTY UNIFIED,California,Alpine County Unified,06003,0602070
ALPINE DISTRICT,Utah,Alpine District,49049,4900030
ALPINE ELEMENTARY DISTRICT (4161),Arizona,Alpine Elementary District (4161),04001,0400630
ALPINE ISD,Texas,ALPINE ISD,48043,4807950
ALPINE PUBLIC SCHOOL DISTRICT,New Jersey,Alpine School District,34003,3400870
ALPINE UNION ELEMENTARY,California,Alpine Union Elementary,06073,0602100
ALSEA SD 7J,Oregon,Alsea SD 7J,41003,4101200
ALSIP-HAZLGRN-OAKLWN SD 126,Illinois,Alsip-Hazlgrn-Oaklwn SD 126,17031,1703480
ALT ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY,Virginia,ALT ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY,51121,5100078
ALTA LOMA ELEMENTARY,California,Alta Loma Elementary,06071,0602160
ALTA VISTA ELEMENTARY,California,Alta Vista Elementary,06107,0602220
ALTA VISTA INNOVATION HIGH DISTRICT,CALIFORNIA,Alta Vista Innovation High District,06071,0601625
ALTA-AURELIA COMM SCHOOL DISTRICT,Iowa,Alta-Aurelia Comm School District,19021,1903480
ALTA-DUTCH FLAT UNION ELEMENTARY,California,Alta-Dutch Flat Union Elementary,06061,0602250
ALTAMONT CUSD 10,Illinois,Altamont CUSD 10,17049,1703510
ALTAR VALLEY ELEMENTARY DISTRICT (4418),Arizona,Altar Valley Elementary District (4418),04019,0404770
ALTENBURG 48,Missouri,ALTENBURG 48,29157,2903040
ALTERNATIVE EDUCATION ACADEMY,Ohio,Alternative Education Academy,39035,3900203
ALTERNATIVE EDUCATIONAL ACADEMY OF IOSCO COUNTY,Michigan,Alternative Educational Academy of Iosco County,26069,2601034
ALTERNATIVE EDUCATIONAL ACADEMY OF OGEMAW COUNTY,MICHIGAN,Alternative Educational Academy of Ogemaw County,26129,2601092
ALTERNATIVES IN ACTION DISTRICT,CALIFORNIA,Alternatives in Action District,06001,0601635
ALTMAR-PARISH-WILLIAMSTOWN CENTRAL SCHOOL DISTRICT,New York,ALTMAR-PARISH-WILLIAMSTOWN CENTRAL SCHOOL DISTRICT,36075,3602820
ALTO ISD,Texas,ALTO ISD,48073,4807980
ALTON CUSD 11,Illinois,Alton CUSD 11,17119,1703600
ALTON R-IV,Missouri,ALTON R-IV,29149,2903060
ALTON SAU OFFICE,New Hampshire,Alton SAU Office,33001,3300020
ALTON SCHOOL DISTRICT,New Hampshire,Alton School District,33001,3301440
ALTOONA AREA SD,Pennsylvania,Altoona Area SD,42013,4202340
ALTOONA SCHOOL DISTRICT,Wisconsin,Altoona School District,55035,5500270
ALTOONA-MIDWAY,Kansas,Altoona-Midway,20205,2004170
ALTURA PREPARATORY SCHOOL,NEW MEXICO,ALTURA PREPARATORY SCHOOL,35001,3500178
ALTURAS INTERNATIONAL ACADEMY INC.,IDAHO,ALTURAS INTERNATIONAL ACADEMY INC.,16019,1600175
ALTURAS PREPARATORY ACADEMY INC,IDAHO,ALTURAS PREPARATORY ACADEMY INC,16019,1600199
ALTUS,Oklahoma,ALTUS,40065,4002850
ALTUS SCHOOLS AUDEO DISTRICT,CALIFORNIA,Audeo Charter District,06073,0601522
ALTUS SCHOOLS CHARTER SCHOOL OF SAN DIEGO DISTRICT,CALIFORNIA,Charter School of San Diego District,06073,0601876
ALTUS SCHOOLS EAST COUNTY DISTRICT,CALIFORNIA,Grossmont Secondary District,06073,0601940
ALTUS SCHOOLS SOUTH BAY DISTRICT,CALIFORNIA,Sweetwater Secondary District,06073,0601509
ALUM ROCK UNION ELEMENTARY,California,Alum Rock Union Elementary,06085,0602310
ALVA,Oklahoma,ALVA,40151,4002880
ALVARADO ISD,Texas,ALVARADO ISD,48251,4800011
ALVIEW-DAIRYLAND UNION ELEMENTARY,California,Alview-Dairyland Union Elementary,06039,0602360
ALVIN C. YORK AGRICULTURAL INSTITUTE,Tennessee,Alvin C York Institute,47049,4700144
ALVIN ISD,Texas,ALVIN ISD,48039,4808090
ALVINA ELEMENTARY,California,Alvina Elementary,06019,0602370
ALVORD ISD,Texas,ALVORD ISD,48497,4808100
ALVORD UNIFIED,California,Alvord Unified,06065,0602430
ALWOOD CUSD 225,Illinois,AlWood CUSD 225,17073,1703660
ALXNDR/JCKSN/PULSK/PRRY/UNION ROE,Illinois,Alxndr/Jcksn/Pulsk/Prry/Union ROE,17077,1700190
ALZADA ELEM,Montana,Alzada Elem,30011,3001950
AMADOR COUNTY OFFICE OF EDUCATION,California,Amador County Office of Education,06005,0691001
AMADOR COUNTY ROP,California,Amador County ROP,06005,0600089
AMADOR COUNTY UNIFIED,California,Amador County Unified,06005,0602450
AMAGANSETT UNION FREE SCHOOL DISTRICT,New York,AMAGANSETT UNION FREE SCHOOL DISTRICT,36103,3602880
AMANDA-CLEARCREEK LOCAL,Ohio,Amanda-Clearcreek Local,39045,3904684
AMANI PUBLIC CHARTER SCHOOL,New York,AMANI PUBLIC CHARTER SCHOOL,36119,3601051
AMARILLO ISD,Texas,AMARILLO ISD,48375,4808130
AMBASSADOR PHILLIP V. SANCHEZ II PUBLIC CHARTER DISTRICT,CALIFORNIA,Ambassador Phillip V. Sanchez II Public Charter District,06019,0602167
AMBASSADORS PREPARATORY ACADEMY,Texas,AMBASSADORS PREPARATORY ACADEMY,48167,4800284
AMBER CHARTER SCHOOL EAST HARLEM,New York,AMBER CHARTER SCHOOL EAST HARLEM,36061,3600039
AMBER CHARTER SCHOOL INWOOD,NEW YORK,AMBER CHARTER SCHOOL INWOOD,36061,3601228
AMBER CHARTER SCHOOL KINGSBRIDGE,NEW YORK,AMBER CHARTER SCHOOL KINGSBRIDGE,36005,3601149
AMBER-POCASSET,Oklahoma,AMBER-POCASSET,40051,4002910
AMBITION PREPARATORY CHARTER SCHOOL,MISSISSIPPI,Ambition Preparatory Charter School,28049,2800197
AMBOY CUSD 272,Illinois,Amboy CUSD 272,17103,1703690
AMBRIDGE AREA SD,Pennsylvania,Ambridge Area SD,42007,4202440
AMELIA COUNTY PUBLIC SCHOOLS,Virginia,AMELIA CO PBLC SCHS,51007,5100180
AMELIA-NOTTOWAY VOCATIONAL-TECHNICAL CENTER,Virginia,AMELIA-NOTTOWAY VOC CTR,51135,5100013
AMERICA'S FINEST CHARTER DISTRICT,CALIFORNIA,America's Finest Charter District,06073,0601468
AMERICAN ACADEMY OF INNOVATION,UTAH,American Academy of Innovation,49035,4900186
AMERICAN BASIC SCHOOLS LLC (79215),Arizona,American Basic Schools LLC (79215),04013,0400218
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. ALTA VI (80995),Arizona,American Charter Schools Foundation d.b.a. Alta Vi (80995),04013,0400619
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. APACHE  (79883),Arizona,American Charter Schools Foundation d.b.a. Apache  (79883),04013,0400357
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. CRESTVI (79874),Arizona,American Charter Schools Foundation d.b.a. Crestvi (79874),04013,0400385
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. DESERT  (79872),Arizona,American Charter Schools Foundation d.b.a. Desert  (79872),04013,0400384
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. ESTRELL (79873),Arizona,American Charter Schools Foundation d.b.a. Estrell (79873),04013,0400352
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. PEORIA  (79875),Arizona,American Charter Schools Foundation d.b.a. Peoria  (79875),04013,0400353
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. SOUTH P (80989),Arizona,American Charter Schools Foundation d.b.a. South P (80989),04013,0400618
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. SOUTH R (88334),Arizona,American Charter Schools Foundation d.b.a. South R (88334),04013,0400447
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. SUN VAL (79877),Arizona,American Charter Schools Foundation d.b.a. Sun Val (79877),04013,0400354
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. WEST PH (79879),Arizona,American Charter Schools Foundation d.b.a. West Ph (79879),04013,0400355
AMERICAN CHARTER SCHOOLS FOUNDATION DBA RIDGEVIEW  (1001346),ARIZONA,American Charter Schools Foundation dba Ridgeview  (1001346),04013,0401005
AMERICAN DREAM CHARTER SCHOOL,NEW YORK,AMERICAN DREAM CHARTER SCHOOL,36005,3601119
AMERICAN FALLS JOINT DISTRICT,Idaho,AMERICAN FALLS JOINT DISTRICT,16077,1600060
AMERICAN HERITAGE CHARTER SCHOOL INC.,Idaho,AMERICAN HERITAGE CHARTER SCHOOL INC.,16019,1600162
AMERICAN INDIAN PUBLIC CHARTER SCHOOL II DISTRICT,CALIFORNIA,American Indian Public Charter II District,06001,0601880
AMERICAN INTERNATIONAL ACADEMY,Michigan,American International Academy,26163,2600986
AMERICAN LEADERSHIP ACADEMY,Utah,American Leadership Academy,49049,4900033
AMERICAN LEADERSHIP ACADEMY - JOHNSTON,NORTH CAROLINA,American Leadership Academy - Johnston,37101,3700477
AMERICAN LEADERSHIP ACADEMY INC. (4348),Arizona,American Leadership Academy Inc. (4348),04013,0400112
AMERICAN LEADERSHIP ACADEMY-COASTAL,NORTH CAROLINA,Coastal Preparatory Academy,37129,3700412
AMERICAN MONTESSORI ACADEMY,Michigan,American Montessori Academy,26163,2600312
AMERICAN PREPARATORY ACADEMY,Utah,American Preparatory Academy,49035,4900005
AMERICAN RENAISSANCE SCHOOL,North Carolina,American Renaissance School,37097,3700086
AMERICAN RIVER COLLEGIATE ACADEMY DISTRICT,CALIFORNIA,American River Collegiate Academy District,06067,0602541
AMERICAN VIRTUAL ACADEMY (79461),Arizona,American Virtual Academy (79461),04013,0400329
AMERY SCHOOL DISTRICT,Wisconsin,Amery School District,55095,5500300
AMES COMM SCHOOL DISTRICT,Iowa,Ames Comm School District,19169,1903540
AMESBURY,Massachusetts,Amesbury,25009,2501860
AMHERST,Massachusetts,Amherst,25015,2501890
AMHERST CENTRAL SCHOOL DISTRICT,New York,AMHERST CENTRAL SCHOOL DISTRICT,36029,3602920
AMHERST COUNTY PUBLIC SCHOOLS,Virginia,AMHERST CO PBLC SCHS,51009,5100210
AMHERST EXEMPTED VILLAGE,Ohio,Amherst Exempted Village,39093,3904519
AMHERST ISD,Texas,AMHERST ISD,48279,4808160
AMHERST PUBLIC SCHOOLS,Nebraska,AMHERST PUBLIC SCHOOLS,31019,3100070
AMHERST SAU OFFICE,New Hampshire,Amherst SAU Office,33011,3399939
AMHERST SCHOOL DISTRICT,New Hampshire,Amherst School District,33011,3301470
AMHERST-PELHAM,Massachusetts,Amherst-Pelham,25015,2501920
AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,Texas,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,48201,4800113
AMISTAD ACADEMY DISTRICT,Connecticut,Amistad Academy District,09009,0900024
AMITE COUNTY SCHOOL DISTRICT,Mississippi,AMITE COUNTY SCHOOL DISTRICT,28005,2800420
AMITY SD 4J,Oregon,Amity SD 4J,41071,4101230
AMITYVILLE UNION FREE SCHOOL DISTRICT,New York,AMITYVILLE UNION FREE SCHOOL DISTRICT,36103,3602940
AMORY SCHOOL DIST,Mississippi,AMORY SCHOOL DIST,28095,2800450
AMPHITHEATER UNIFIED DISTRICT (4406),Arizona,Amphitheater Unified District (4406),04019,0400680
AMSTERDAM CITY SCHOOL DISTRICT,New York,AMSTERDAM CITY SCHOOL DISTRICT,36057,3602970
AMSTERDAM ELEM,Montana,Amsterdam Elem,30031,3001980
AMY BIEHL CHARTER HIGH SCHOOL,New Mexico,AMY BIEHL CHARTER HIGH SCHOOL,35001,3500131
ANACONDA ELEM,Montana,Anaconda Elem,30023,3002010
ANACONDA H S,Montana,Anaconda H S,30023,3002030
ANACORTES SCHOOL DISTRICT,Washington,Anacortes School District,53057,5300150
ANADARKO,Oklahoma,ANADARKO,40015,4003000
ANAHEIM ELEMENTARY,California,Anaheim Elementary,06059,0602610
ANAHEIM UNION HIGH,California,Anaheim Union High,06059,0602630
ANAHUAC ISD,Texas,ANAHUAC ISD,48071,4808190
ANAHUACALMECAC INTERNATIONAL UNIV PREP OF N. AMERICA DIST,CALIFORNIA,Anahuacalmecac International Univ Prep N. America District,06037,0601925
ANAMOOSE 14,North Dakota,ANAMOOSE 14,38049,3801950
ANAMOSA COMM SCHOOL DISTRICT,Iowa,Anamosa Comm School District,19105,1903570
ANCHOR BAY SCHOOL DISTRICT,Michigan,Anchor Bay School District,26147,2602790
ANCHORAGE INDEPENDENT,Kentucky,Anchorage Independent,21111,2100090
ANCHORAGE SCHOOL DISTRICT,Alaska,Anchorage School District,02020,0200180
ANDALUSIA CITY,Alabama,Andalusia City,01039,0100060
ANDERSON,Oklahoma,ANDERSON,40113,4003010
ANDERSON 01,South Carolina,Anderson 01,45007,4500780
