GEO_ID,NAME,P2_001N,P2_002N,P2_003N,P2_004N
1400000US09003417300,"Census Tract 4173, Hartford County, Connecticut",2045,2045,0,0
1400000US09003417400,"Census Tract 4174, Hartford County, Connecticut",3012,3012,0,0
1400000US09003417500,"Census Tract 4175, Hartford County, Connecticut",4333,4333,0,0
1400000US09003420400,"Census Tract 4204, Hartford County, Connecticut",3021,3021,0,0
1400000US09003420500,"Census Tract 4205, Hartford County, Connecticut",5321,5321,0,0
1400000US09003420601,"Census Tract 4206.01, Hartford County, Connecticut",2596,2596,0,0
1400000US09003420602,"Census Tract 4206.02, Hartford County, Connecticut",3224,3224,0,0
1400000US09003420700,"Census Tract 4207, Hartford County, Connecticut",3363,3008,355,0
1400000US09003430100,"Census Tract 4301, Hartford County, Connecticut",4141,4141,0,0
1400000US09003430201,"Census Tract 4302.01, Hartford County, Connecticut",3373,3373,0,0
1400000US09003430202,"Census Tract 4302.02, Hartford County, Connecticut",4616,4478,138,0
1400000US09003430203,"Census Tract 4302.03, Hartford County, Connecticut",4024,4024,0,0
1400000US09003430301,"Census Tract 4303.01, Hartford County, Connecticut",3855,3797,58,0
1400000US09003430302,"Census Tract 4303.02, Hartford County, Connecticut",2878,2878,0,0
1400000US09003430400,"Census Tract 4304, Hartford County, Connecticut",5092,4887,205,0
1400000US09003430501,"Census Tract 4305.01, Hartford County, Connecticut",1705,1705,0,0
1400000US09003430502,"Census Tract 4305.02, Hartford County, Connecticut",5157,4751,406,0
1400000US09003430602,"Census Tract 4306.02, Hartford County, Connecticut",3451,3451,0,0
1400000US09003430603,"Census Tract 4306.03, Hartford County, Connecticut",2170,2170,0,0
1400000US09003430604,"Census Tract 4306.04, Hartford County, Connecticut",3039,2654,385,0
1400000US09003460100,"Census Tract 4601, Hartford County, Connecticut",3441,3441,0,0
1400000US09003460202,"Census Tract 4602.02, Hartford County, Connecticut",4820,4578,242,0
1400000US09003460203,"Census Tract 4602.03, Hartford County, Connecticut",3313,3292,21,0
1400000US09003460204,"Census Tract 4602.04, Hartford County, Connecticut",6190,6190,0,0
1400000US09003460301,"Census Tract 4603.01, Hartford County, Connecticut",5025,5025,0,0
1400000US09003460302,"Census Tract 4603.02, Hartford County, Connecticut",3923,3876,47,0
1400000US09003462101,"Census Tract 4621.01, Hartford County, Connecticut",6151,6151,0,0
1400000US09003462102,"Census Tract 4621.02, Hartford County, Connecticut",4391,4391,0,0
1400000US09003462201,"Census Tract 4622.01, Hartford County, Connecticut",5439,5323,116,0
1400000US09003462202,"Census Tract 4622.02, Hartford County, Connecticut",2951,1788,1163,0
1400000US09003464101,"Census Tract 4641.01, Hartford County, Connecticut",5185,1474,3711,0
1400000US09003464102,"Census Tract 4641.02, Hartford County, Connecticut",4939,4776,163,0
1400000US09003466101,"Census Tract 4661.01, Hartford County, Connecticut",5675,5394,281,0
1400000US09003466102,"Census Tract 4661.02, Hartford County, Connecticut",5496,5435,61,0
1400000US09003466201,"Census Tract 4662.01, Hartford County, Connecticut",2685,2637,48,0
1400000US09003466202,"Census Tract 4662.02, Hartford County, Connecticut",3678,2230,1448,0
1400000US09003466300,"Census Tract 4663, Hartford County, Connecticut",4608,4551,57,0
1400000US09003466400,"Census Tract 4664, Hartford County, Connecticut",2375,1324,1051,0
