"statecode","countycode","v014_numerator","v014_denominator","v014_rawvalue","v014_cihigh","v014_cilow"
"31","127",16,2069,7.73320444659256,12.5582395348289,4.42019451601814
"51","610",16,3217,4.97357786757849,8.07677886153589,2.84282948512326
"20","053",16,885,18.0790960451977,29.3593193192779,10.3337654843407
"55","099",16,2417,6.61977658254034,10.7501024400335,3.78377428781197
"19","089",16,2031,7.87789266371246,12.7932041346927,4.5028963336492
"17","169",17,1310,12.9770992366412,20.7775929892417,7.55963852641778
"48","271",17,618,27.5080906148867,44.0431178250916,16.0244764880377
"20","109",17,546,31.1355311355311,49.8510014943345,18.13759426668
"48","081",17,715,23.7762237762238,38.0680375047645,13.8505265309193
"51","017",17,591,28.7648054145516,46.0552399592328,16.7565591702323
"32","021",17,704,24.1477272727273,38.6628505907764,14.0669410079649
"20","137",17,913,18.6199342825849,29.8123185278276,10.8467978856597
"30","099",17,1304,13.0368098159509,20.8731954109713,7.59442213926939
"31","139",17,1580,10.7594936708861,17.2269916556371,6.26780156304259
"41","025",17,1102,15.426497277677,24.6993165298608,8.98650314846397
"13","239",17,411,41.3625304136253,66.2254180435684,24.0951982228888
"29","197",17,925,18.3783783783784,29.4255641253044,10.7060826698457
"48","211",17,1250,13.6,21.7749174527253,7.92250117568583
"46","009",17,1192,14.261744966443,22.8344352482438,8.3079920047041
"19","131",17,2365,7.18816067653277,11.5089415712079,4.18736848609188
"56","035",17,1702,9.9882491186839,15.9921544159263,5.81852319013354
"17","151",17,611,27.823240589198,44.5477034630223,16.2080629617141
"20","027",17,1558,10.9114249037227,17.4702482772186,6.3563071050111
"40","007",17,1378,12.3367198838897,19.7522836109627,7.18659395472227
"51","159",18,1465,12.2866894197952,19.4182663942171,7.28187083986316
"16","035",18,1226,14.6818923327896,23.2037196309364,8.70141988613338
"37","095",18,814,22.1130221130221,34.9481084367666,13.1055783542992
"30","067",18,2567,7.0120763537203,11.0821037271243,4.155800849396
"30","077",18,923,19.501625135428,30.8209753711029,11.5578990036831
"08","103",18,1652,10.8958837772397,17.2201938665424,6.45759127142829
"31","089",18,2122,8.48256361922714,13.4061075718794,5.02730479754926
"13","125",18,624,28.8461538461538,45.5893594030897,17.096058942948
"30","023",18,1346,13.3729569093611,21.1350373458603,7.92566179821659
"48","065",18,1379,13.0529369108049,20.6292677792081,7.73599766526434
"48","385",18,473,38.0549682875264,60.1432563795518,22.553786005073
