statecode,countycode,v063_race_black,v063_race_white,v063_race_hispanic,v063_race_asian,v063_race_aian,v063_race_white_cilow,v063_race_white_cihigh,v063_race_black_cilow,v063_race_black_cihigh,v063_race_hispanic_cilow,v063_race_hispanic_cihigh,v063_race_asian_cilow,v063_race_asian_cihigh,v063_race_aian_cilow,v063_race_aian_cihigh,v063_race_flag_CT
01,089,55769,96685,58943,109926,89688,93732.48936170213,99637.51063829787,51727.46808510638,59810.53191489362,50552.53191489362,67333.46808510637,89957.82978723405,129894.17021276595,61477.10638297872,117898.89361702127,
01,091,28911,77348,,,,65848.93617021276,88847.06382978724,21646.48936170213,36175.51063829787,,,,,,,
01,093,27344,52060,58343,,11349,46101.36170212766,58018.63829787234,9108.255319148935,45579.744680851065,35926.31914893617,80759.68085106384,,,11116.659574468085,11581.340425531915,
01,095,39773,62557,54877,105795,68526,58442.78723404255,66671.21276595745,24552.91489361702,54993.085106382976,46823.72340425532,62930.27659574468,42096.78723404255,169493.21276595746,4811.106382978724,132240.89361702127,
01,097,40950,71590,58940,71141,53438,69186.76595744681,73993.23404255319,38673.063829787236,43226.936170212764,49374.72340425532,68505.27659574468,56577.425531914894,85704.5744680851,27983.021276595744,78892.97872340426,
01,099,29049,59211,,58000,35583,51797.553191489365,66624.44680851063,24822.787234042553,33275.21276595745,,,31525.106382978727,84474.89361702127,9228.446808510638,61937.553191489365,
01,101,47228,80604,58857,110036,52321,75255.40425531915,85952.59574468085,44362.46808510638,50093.53191489362,42207.12765957447,75506.87234042553,92233.95744680852,127838.04255319148,13478.446808510642,91163.55319148937,
01,103,40450,69439,65676,,,66152.87234042553,72725.12765957447,33968.29787234042,46931.70212765958,56623.063829787236,74728.93617021276,,,,,
01,105,32791,51667,,,,35610.48936170213,67723.51063829787,28511.17021276596,37070.82978723404,,,,,,,
01,107,31633,64017,,,,54355.21276595745,73678.78723404255,27450.872340425532,35815.12765957447,,,,,,,
01,109,36618,59443,41326,,108667,52737.29787234042,66148.70212765958,33299.70212765958,39936.29787234042,23016.382978723406,59635.617021276594,,,107642.31914893616,109691.68085106384,
01,111,41580,59612,,,,54023.914893617024,65200.085106382976,29479.234042553195,53680.765957446805,,,,,,,
01,113,43364,58608,45690,,,50352.17021276596,66863.82978723405,33547.31914893617,53180.68085106383,15476.212765957447,75903.78723404255,,,,,
01,115,59743,81042,78000,54361,206613,77114.85106382979,84969.14893617021,53712.87234042553,65773.12765957447,62490.382978723406,93509.6170212766,13002.02127659574,95719.97872340426,153366.53191489363,259859.46808510637,
01,117,73126,100107,71927,104961,134250,95429.21276595745,104784.78723404255,71229.14893617021,75022.85106382979,60385.04255319149,83468.9574468085,71120.31914893616,138801.68085106384,86423.6170212766,182076.38297872338,
01,119,31346,59413,,,,37388.31914893617,81437.68085106384,25541.063829787236,37150.936170212764,,,,,,,
01,121,43750,61660,56991,42045,,58308.34042553192,65011.65957446808,36676.12765957447,50823.87234042553,31976.872340425532,82005.12765957447,5048.063829787236,79041.93617021276,,,
01,123,31188,64155,41161,56711,,58966.063829787236,69343.93617021276,25449.787234042553,36926.21276595745,2304.1489361702115,80017.85106382979,6094.1489361702115,107327.85106382979,,,
01,125,45591,77176,71250,58854,41667,72750.8085106383,81601.1914893617,42130.914893617024,49051.085106382976,55463.95744680851,87036.0425531915,30551.361702127662,87156.63829787234,8911.765957446809,74422.23404255319,
01,127,33321,56274,30202,125774,,51991.78723404255,60556.21276595745,20531.55319148936,46110.446808510635,13624.808510638297,46779.19148936171,73187.6170212766,178360.38297872338,,,
01,129,27727,69322,,,148479,49789.914893617024,88854.08510638298,18624.021276595748,36829.97872340425,,,,,127714.91489361702,169243.08510638296,
01,131,30153,61844,,,,53922.97872340425,69765.02127659574,11286.957446808512,49019.04255319149,,,,,,,
01,133,,47080,63485,61719,,39782.12765957447,54377.87234042553,,,37765.51063829787,89204.48936170213,5782.148936170219,117655.85106382979,,,
02,000,73780,97533,74456,90314,59090,95160.74468085106,99905.25531914894,65879.23404255319,81680.76595744681,70139.23404255319,78772.76595744681,82820.72340425532,97807.27659574468,56598.59574468085,61581.40425531915,
02,013,,98250,81818,96726,52237,70471.61702127659,126028.38297872341,,,47756.89361702128,115879.10638297873,74264.0425531915,119187.9574468085,48116.82978723404,56357.17021276596,
02,016,,143021,115000,96484,72500,123279.21276595745,162762.78723404254,,,87619.5744680851,142380.4255319149,71766.55319148937,121201.44680851063,32607.744680851065,112392.25531914894,
