statecode,countycode,v161_numerator,v161_denominator,v161_rawvalue,v161_otherdata1,v161_cilow,v161_cihigh,v161_sourceflag,v161_flag_CT
06,017,180,963850,17.647598924948877,18.675105047465895,14.881962767965016,20.413235081932736,,
06,019,511,5045952,10.315595308862715,10.126929467422599,9.410318957612738,11.220871660112692,,
06,021,24,141949,17.186899117806092,16.907480855800323,10.895019731329224,25.788787365589283,,
06,023,156,675840,21.549305524456013,23.082386363636363,18.043118619728187,25.05549242918384,,
06,025,57,899103,6.385083523061513,6.339651853013503,4.810118733957393,8.311063861226975,,
06,027,16,92300,16.692104238072886,17.33477789815818,9.125728714496544,28.006514591322716,,
06,029,588,4549165,13.505621392910657,12.925448956017203,12.397455574947827,14.613787210873486,,
06,031,84,764738,11.14146749176631,10.984154050145278,8.861139735269415,13.829498854655629,,
06,033,79,333700,22.611352878219456,23.67395864548996,17.55860026312076,28.66527764488911,,
06,035,41,152513,24.218220208740497,26.88295423996643,17.221522048125163,33.107104280360026,,
06,037,4287,49196180,8.203310179155897,8.71409121602531,7.954065536686083,8.452554821625712,,
06,039,92,797612,11.822427822013175,11.534430274368992,9.494380327430004,14.548514747430112,,
06,041,186,1286789,12.91990902276208,14.454584240306687,10.899117701862014,14.940700343662147,,
06,043,24,85449,31.382004841396242,28.0869290453955,19.168943838707932,48.466961244230546,,
06,045,114,443006,22.29033711209979,25.73328577942511,17.868150849943444,26.71252337425614,,
06,047,146,1425327,10.620158464678358,10.243263475679615,8.871829163678452,12.368487765678264,,
06,049,11,43276,27.7420510149187,25.418245678898234,13.303391784447047,51.01861955001756,,
06,051,15,68269,18.013855349861743,21.97190525714453,9.848342346800452,30.2241883651288,,
06,053,233,2165873,10.594523921122637,10.757786813908295,9.215450017004779,11.973597825240494,,
06,055,85,677432,11.0633077668095,12.547384829768893,8.745085691470116,13.807508785788572,,
06,057,104,507178,19.35536294549385,20.505621300608464,15.292627821468457,23.418098069519246,,
06,059,1643,15797297,9.65270889737706,10.400513454928396,9.175802514567007,10.129615280187114,,
06,061,270,2054912,11.563003928458198,13.139248785349444,10.119896554011824,13.006111302904571,,
06,063,29,96171,25.428394807444597,30.154620415717833,15.935839645316966,38.49889532666215,,
06,065,1384,12384473,10.808843661719088,11.175283760560502,10.231858463391152,11.385828860047024,,
06,067,974,7868582,11.875121477652181,12.378342120600635,11.117701814175144,12.632541141129218,,
06,069,21,329294,6.386813072094116,6.3772798775562265,3.9012313491775856,9.863914788229257,,
06,071,1207,10953245,11.006658667390745,11.019565434718205,10.376939251188833,11.636378083592657,,
06,073,1925,16503007,10.98183106245962,11.664540892456749,10.483927732968018,11.47973439195122,,
06,075,406,4180781,8.616741342445495,9.711104217130723,7.737826820173049,9.495655864717941,,
06,077,444,3913719,11.304236805128363,11.344708191875808,10.242561607047492,12.365912003209235,,
06,079,238,1412171,14.757593857908747,16.853483041359723,12.75541071834219,16.759776997475303,,
06,081,332,3718303,8.055473379390278,8.928804349726205,7.1645488539156,8.946397904864956,,
06,083,255,2222834,11.123908083442247,11.471841801951923,9.711717910113574,12.53609825677092,,
06,085,820,9469002,8.127972573952245,8.659835534938107,7.564160375007413,8.691784772897078,,
06,087,186,1336847,12.770550861998434,13.91333488424629,10.850111494892893,14.690990229103974,,
06,089,241,902542,24.84028576882628,26.702358449800677,21.541692516023872,28.13887902162869,,
06,091,,,,,,,,
06,093,66,217467,29.039880338131123,30.349432327663507,21.815651878223083,37.890744550057974,,
06,095,291,2244259,12.645986172520027,12.966417868882335,11.159903178122365,14.13206916691769,,
06,097,376,2434504,14.099066253550198,15.444624449169112,12.609463476002762,15.588669031097634,,
06,099,319,2756445,11.673204507250913,11.572877383731582,10.376688659515125,12.969720354986702,,
06,101,61,488870,12.043909339912478,12.477754822345409,9.168381816255835,15.5357655501918,,
06,103,79,325217,22.881692601822316,24.291473077975628,17.870791760952425,28.862141730134297,,
06,105,21,72012,25.286695798132865,29.16180636560573,14.152771683170316,41.70655923883256,,
06,107,205,2368941,9.207892512846492,8.653655789654534,7.932634214531121,10.483150811161861,,
06,109,63,273538,21.18007082191995,23.0315349238497,15.865326450993622,27.704054116070605,,
06,111,481,4189372,10.5630701739638,11.481434448886372,9.59453743997536,11.531602907952239,,
06,113,99,1099873,9.192785421944036,9.001039210890713,7.4197642705551825,11.261783201060837,,
06,115,62,412281,15.806407721547089,15.038286993579622,12.061954283423802,20.345979938207815,,
08,000,6578,29096060,21.626321427281486,22.60787199366512,21.09574022920012,22.15690262536285,,
08,001,518,2620384,19.6595281872624,19.768095057823587,17.943865026705264,21.375191347819534,,
08,003,22,82207,28.85170062604044,26.761711289792842,17.859657423398943,44.10288919246294,,
08,005,621,3280811,18.437748644263493,18.928246704854377,16.970203964697973,19.905293323829014,,
08,007,21,70207,33.031718060723,29.911547281610098,19.242193027279477,52.88698044808371,,
08,009,,,,,,,,
08,011,,,,,,,,
08,013,327,1637209,18.161414097385297,19.973015051835166,16.143571898951745,20.17925629581885,,
08,014,59,371007,15.005680752036545,15.902664909287425,11.365156062675883,19.44159991605603,,
08,015,47,101931,39.52395975292387,46.10962317646251,28.23649631003043,53.82041526001814,,
08,017,,,,,,,,
08,019,13,47234,25.864147574381438,27.522547317610197,13.364382471502303,45.17946075658301,,
08,021,10,39060,22.397517138396847,25.60163850486431,10.241571053269837,42.51746423436694,,
08,023,10,18664,69.74419834477712,53.57908272610373,31.891488618479357,132.39621339970125,,
08,025,14,29019,47.85340411525136,48.244253764774804,24.726552202054403,83.59026668388519,,
08,027,,,,,,,,
