"","v133_rawvalue","statecode","countycode","v133_numerator","v133_denominator"
"330",8.9,"11","001",0.0160610229070067,0.11
"331",7.8,"12","001",0.0721126840152536,0.136
"332",6.9,"12","003",0.170749249225822,0.127
"333",7.4,"12","005",0.103361530691041,0.14
"334",8.1,"12","007",0.00374181720210648,0.153
"335",7.6,"12","009",0.120568883927454,0.121
"336",8.8,"12","011",0.0237879903065025,0.113
"337",5.6,"12","013",0.204800708744034,0.171
"338",7,"12","015",0.138042227089812,0.138
"339",6.4,"12","017",0.156636624344631,0.157
"340",8.2,"12","019",0.0858472328626956,0.111
"341",8.2,"12","021",0.0701853545920818,0.117
"342",7.8,"12","023",0.044498682657081,0.148
"343",6.7,"12","027",0.0704389762649547,0.186
"344",7.6,"12","029",0.0300589092026569,0.162
"345",7.7,"12","031",0.0974600935530887,0.127
"346",7.2,"12","033",0.123076233969685,0.138
"347",7,"12","035",0.179052300709799,0.121
"348",7.7,"12","037",0.00674056964180385,0.17
"349",7.8,"12","039",0.0269496304944624,0.154
"350",8.4,"12","041",0.000730408943120279,0.143
"351",5.4,"12","043",0.23921376439942,0.166
"352",8.3,"12","045",0.0188988903509033,0.135
"353",6.7,"12","047",0.095122896633597,0.172
"354",5.8,"12","049",0.130227068808282,0.196
"355",7,"12","051",0.0724965699019845,0.169
"356",7.1,"12","053",0.123389856695655,0.142
"357",6.2,"12","055",0.177081509246981,0.156
"358",7.9,"12","057",0.0821913732622483,0.127
"359",6.2,"12","059",0.186505035007382,0.155
"360",7.3,"12","061",0.133789948464383,0.128
"361",7.6,"12","063",0.0543333893584114,0.154
"362",7.8,"12","065",0.0580290692978538,0.142
"363",7.6,"12","067",0.045584282625728,0.158
"364",7.6,"12","069",0.118439736438732,0.12
"365",7.5,"12","071",0.119953756848901,0.127
"366",7.7,"12","073",0.0939845820866564,0.129
"367",7.8,"12","075",0.0421030853424949,0.15
"368",6.6,"12","077",0.100695501424135,0.174
"369",7,"12","079",0.115819233828391,0.149
"370",8.2,"12","081",0.0614153773689892,0.122
"371",7.2,"12","083",0.11875955062802,0.138
"372",7.8,"12","085",0.102407588714117,0.121
"373",8.3,"12","086",0.0181870643397853,0.137
"374",7.9,"12","087",0.0909013935655134,0.123
"375",7.7,"12","089",0.121279659225007,0.118
"376",7.7,"12","091",0.111042411014437,0.123
"377",5.2,"12","093",0.272912795950536,0.158
"378",8,"12","095",0.0718006161946995,0.124
"379",7,"12","097",0.148817391948273,0.137
"380",8.5,"12","099",0.0413014478407187,0.116
"381",7.3,"12","101",0.120717252772034,0.133
"382",8.2,"12","103",0.0512091543037541,0.128
"383",7.1,"12","105",0.134411926621578,0.137
"384",7,"12","107",0.067026615097544,0.173
"385",8.8,"12","109",0.0547618788115745,0.097
"386",7.2,"12","111",0.152181965065778,0.123
"387",8,"12","113",0.0951177997491865,0.116
"388",8.2,"12","115",0.0711069269088206,0.118
"389",8.4,"12","117",0.0612750983983109,0.112
