statecode,countycode,v153_cihigh,v153_cilow,v153_numerator,v153_denominator,v153_rawvalue
04,011,0.613575715243376,0.502568303339667,1922,3444,0.5580720092915215
04,012,0.738372944995565,0.6702013770478691,6259,8887,0.7042871610217171
04,013,0.6546548103824531,0.645605243277917,1103493,1697342,0.6501300268301851
04,015,0.7487967909502228,0.7238087054945289,71347,96899,0.7363027482223758
04,017,0.7413180523854819,0.7135337512447548,28494,39171,0.7274259018151183
04,019,0.653540005121831,0.6426394990142357,279304,430965,0.6480897520680333
04,021,0.8160263189634867,0.7944525191527145,126578,157193,0.8052394190581006
04,023,0.7144710689078582,0.6530360671530362,11498,16816,0.6837535680304472
04,025,0.7475013175862255,0.7227282508251611,80054,108900,0.7351147842056933
04,027,0.7146448323634375,0.6858206891376742,53850,76903,0.7002327607505558
05,000,0.6668219715210346,0.6560176799976845,786534,1189160,0.6614198257593595
05,001,0.7029054964067527,0.6461153021358312,4443,6587,0.674510399271292
05,003,0.7503504888120602,0.6923498862400304,5193,7199,0.7213501875260453
05,005,0.7696503305893995,0.7295461026108702,14459,19289,0.7495982166001348
05,007,0.6840979785214273,0.6599721636762749,72356,107667,0.6720350710988511
05,009,0.7371982752040127,0.668657817232962,10707,15232,0.7029280462184874
05,011,0.7069467542036765,0.6302754680185458,2407,3600,0.6686111111111112
05,013,0.9252795374689453,0.801993189803782,1368,1584,0.8636363636363636
05,015,0.8081687634996347,0.74540588083676,8627,11106,0.7767873221681973
05,017,0.7174399121464986,0.6303528921403093,2641,3919,0.673896402143404
05,019,0.6502181814070184,0.5806643520408766,5014,8147,0.6154412667239475
05,021,0.7529867406980468,0.6763788577322998,4371,6116,0.7146827992151733
05,023,0.8075406187472725,0.7633142292160093,8214,10458,0.7854274239816409
05,025,0.8438555700715745,0.7401043296777988,2212,2793,0.7919799498746867
05,027,0.7300374205024355,0.65281152101173745,5781,8361,0.6914244707570865
05,029,0.757671940609772,0.6716909402766544,5934,8303,0.7146814404432132
05,031,0.6120467385735361,0.5719835218227091,25668,43357,0.5920151301981226
05,033,0.7695320201150845,0.7152901073964403,17071,22994,0.7424110637557624
05,035,0.5892648955081146,0.5430287024851235,10382,18338,0.566146798996619
05,037,0.697682080636106,0.6235932105962668,4310,6524,0.6606376456161864
05,039,0.7508150518009027,0.6726901028382726,1726,2425,0.7117525773195876
05,041,0.6532551813377636,0.5568500818201312,2874,4750,0.6050526315789474
05,043,0.6742384969311729,0.6033171855359888,4474,7004,0.6387778412335808
05,045,0.628930214301424,0.6027646246459012,30094,48866,0.6158474194736626
05,047,0.7807726117216147,0.6998903717037996,5092,6878,0.7403314917127072
05,049,0.889118118727815,0.8047254752821684,4072,4808,0.8469217970049917
05,051,0.710932932239168,0.6736929989339959,30297,43762,0.692312965586582
05,053,0.8287119455960309,0.761798478559253,5531,6955,0.7952552120776419
05,055,0.6875669156037512,0.6153450558343834,11678,17926,0.6514559857190673
05,057,0.7348579975767596,0.6576829200513595,5190,7454,0.6962704588140596
05,059,0.8098166390672997,0.737658776187638,9363,12101,0.7737377076274689
05,061,0.761852575075382,0.6620205144970692,3680,5169,0.7119365447862256
05,063,0.6968679931582865,0.6556638704311039,9816,14515,0.6762659317946952
05,065,0.8018923755627142,0.6916425359153046,3754,5027,0.7467674557390094
05,067,0.6987623937780325,0.6067840453424138,3978,6094,0.6527732195602232
05,069,0.657466871660004,0.6067724642486013,15382,24334,0.6321196679543026
05,071,0.7482969650196473,0.6847676313772871,7199,10047,0.7165322981984672
05,073,0.794291904492905,0.7493898427769857,1979,2564,0.7718408736349454
05,075,0.7164508927109201,0.6469171358738244,4388,6437,0.6816840142923722
05,077,0.6726841122738227,0.5518520482714253,1617,2641,0.612268080272624
05,079,0.8176509076823777,0.7502854197764057,2758,3518,0.7839681637293917
05,081,0.8419702911806547,0.7580297088193454,3832,4790,0.8
05,083,0.7961071707408344,0.7376033431676993,6506,8484,0.7668552569542668
05,085,0.7669125009035155,0.7215298185414282,20702,27817,0.7442211597224718
05,087,0.8338370440921574,0.7471063817031725,5044,6381,0.7904717128976649
05,089,0.9016788871821897,0.7677290075546523,6090,7296,0.834703947368421
05,091,0.6773547972639529,0.6293707253894711,10657,16311,0.653362761326712
05,093,0.6242135647051066,0.5642657279286623,9140,15381,0.5942396463168844
05,095,0.6933840029254644,0.6198476395009279,1851,2819,0.6566158212131962
05,097,0.861279863545143,0.7160122473290574,2959,3752,0.7886460554371002
05,099,0.6993148125426506,0.6187333943944452,2242,3402,0.6590241034685479
05,101,0.7444261473938923,0.7039175718583216,2208,3049,0.724171859626107
05,103,0.746010896924434,0.6782033056366835,6117,8590,0.7121071012805588
05,105,0.8123880164217139,0.7350078169116194,2971,3840,0.7736979166666667
05,107,0.5785882512932021,0.5005507679655776,3334,6179,0.5395695096293899
05,109,0.8078570325357196,0.7096186956196201,3126,4120,0.7587378640776699
05,111,0.6694992710251543,0.6038923799548036,5750,9031,0.6366958254899789
05,113,0.8551433445098575,0.7879312369208884,6477,7884,0.821537290715373
05,115,0.737016779474074,0.6876498594990496,17148,24073,0.7123333194865618
05,117,0.8092364679688213,0.711769358464788,2480,3261,0.7605029132168046
05,119,0.5874523026011703,0.5675228232449344,97857,169453,0.5774875629230524
05,121,0.7769111322100659,0.687662478311784,5178,7071,0.7322868052609249
05,123,0.579248291408411,0.525433855527257,4353,7881,0.552341073467834
05,125,0.7872788045203292,0.7414876557833672,37905,49589,0.7643832301518482
05,127,0.7893917190812599,0.6885812883035122,2902,3927,0.738986503692386
05,129,0.7932791995263089,0.7093420324527213,2293,3052,0.7513106159895151
05,131,0.6329905383271209,0.5913169822210879,31802,51951,0.6121537602741044
05,133,0.7062013848940477,0.5997491153692488,3720,5697,0.6529752501316483
05,135,0.8258241511505415,0.7653652761622338,5418,6810,0.7955947136563877
05,137,0.7975331896969605,0.7135510505287549,3749,4962,0.7555421201128577
05,139,0.758686699208268,0.6999579288909056,11031,15125,0.7293223140495868
05,141,0.8236837763689173,0.7366816487891994,5551,7115,0.7801827125790584
05,143,0.5679729695150476,0.5432591840039694,53043,95467,0.5556160767595085
05,145,0.702555832578456,0.6621703722928516,19751,28945,0.6823631024356538
05,147,0.714519495178202,0.6004096730019651,1810,2753,0.6574645840900836
05,149,0.7148999204311358,0.6354043140156541,5437,8053,0.675152117223395
06,000,0.5611514544290241,0.5545755799019214,7494811,13434847,0.5578635171654728
06,001,0.5462019135355685,0.5352440743555222,320712,593117,0.5407229939455453
06,003,0.907550738806125,0.7118995783186106,383,473,0.8097251585623678
06,005,0.8278141761286659,0.7734555861021319,12863,16066,0.8006348811153989
06,007,0.5971675583276349,0.5683434016577923,47987,82345,0.5827554799927136
06,009,0.8690747230132273,0.8182471745114975,15099,17897,0.8436609487623624
06,011,0.6769118003936825,0.5676636081249353,4646,7466,0.6222877042593089
06,013,0.6831631539575229,0.6699323467202176,278509,411662,0.6765477503388703
06,015,0.7489445073321078,0.6752317737197578,6851,9621,0.7120881405259328
06,017,0.7766129419801947,0.7510881634226764,57838,75719,0.7638505527014355
06,019,0.5618242226186043,0.5465153446190982,178533,322163,0.5541697836188513
06,021,0.6812177697499797,0.580074865710432,6157,9763,0.6306463177302059
06,023,0.578223619653678,0.5471453806743224,30879,54878,0.5626845001640002
06,025,0.5897874452711477,0.5457460900658436,27732,48844,0.5677667676684957
06,027,0.7045013335315475,0.6374146073999178,5316,7923,0.6709579704657327
06,029,0.6064670730673528,0.5897762108966008,168321,281416,0.5981216419819768
06,031,0.5687708695976424,0.527625691587651,23976,43736,0.5481982805926467
06,033,0.7387797773240736,0.6798972064416675,18701,26364,0.7093384918828706
06,035,0.7108598737446492,0.6533785368513774,6180,9060,0.6821192052980133
06,037,0.46436866363743357,0.4572183324991391,1562207,3390254,0.46079349806828634
06,039,0.6748482437698744,0.6356902506025561,29168,44513,0.6552692471862153
06,041,0.6494534551758127,0.6281892033255585,65927,103201,0.6388213292506856
06,043,0.7797711097289693,0.7148396687141444,5616,7515,0.7473053892215569
06,045,0.6346600867539528,0.5828117096012685,21044,34570,0.6087358981776106
