statecode,countycode,v128_denominator,v128_numerator,v128_rawvalue,v128_cilow,v128_cihigh,sourceflag,v128_flag_CT
06,109,41115,27,65.66946369937979,43.27659037277093,95.5456219023765,,
06,111,816246,261,31.975654398306393,28.096337493114714,35.854971303498075,,
06,113,234150,72,30.74951953875721,24.0596052488526,38.72393083265341,,
06,115,98768,63,63.78584156811923,49.01479203333798,81.60980002317604,,
08,000,5526235,2874,52.006474570842535,50.10508939259997,53.9078597490851,,
08,001,577142,317,54.92582414726359,48.87933855499356,60.97230973953362,,
08,003,19429,15,77.20417931957384,43.210593096831104,127.33655294397984,,
08,005,648252,351,54.14561004053979,48.481055479877796,59.81016460120179,,
08,007,10563,4,37.868029915743634,0.7573605983148752,74.97869923317239,,
08,009,3324,3,90.25270758122744,-11.877845452316464,192.38326061477136,,
08,011,3889,3,77.14065312419646,-10.152213495371555,164.43351974376446,,
08,013,294968,91,30.85080415502699,24.839143058511798,37.87795113929229,,
08,014,68411,31,45.31435003142769,30.788902339012512,64.32010276600072,,
08,015,13242,8,60.41383476816191,18.549183170952027,102.2784863653718,,
08,017,1831,2,109.22992900054614,-42.15502906888399,260.61488706997625,,
08,019,5743,1,17.41250217656277,-16.71600208950026,51.5410064426258,,
08,021,8523,9,105.59662090813093,36.60682858148539,174.58641323477647,,
08,023,3123,5,160.1024655779699,19.766466990086855,300.4384641658529,,
08,025,3011,9,298.90401859847225,103.62005978080376,494.1879774161407,,
08,027,3338,3,89.87417615338526,-11.82802824550626,191.5763805522768,,
08,029,26699,13,48.690962208322404,25.925886703636095,83.26302827131681,,
08,031,582873,389,66.73838040190573,60.106190794615735,73.37057000919572,,
08,033,1843,1,54.25935973955507,-52.088985349972866,160.60770482908302,,
08,035,387160,138,35.644178117574135,29.697079593975975,41.5912766411723,,
08,037,49842,17,34.10778058665383,19.869039102779364,54.609860791915686,,
08,039,25798,7,27.133886347778898,7.032822041683087,47.234950653874705,,
08,041,762432,458,60.07093091580626,54.5693475961523,65.57251423546022,,
08,043,34315,21,61.19772694157074,37.882357523171166,93.54722638771204,,
08,045,66508,33,49.61809105671498,34.15481080881974,69.68224765316847,,
08,047,3633,1,27.52546105147261,-26.424442609413703,81.47536471235892,,
08,049,11146,4,35.887313834559485,0.7177462766911873,71.05688139242778,,
08,051,14588,3,20.564847820126133,-2.7064682124691473,43.83616385272141,,
08,053,503,,,,,,
08,055,4930,6,121.70385395537525,24.32048892788987,219.08721898286063,,
08,057,1018,,,,,,
08,059,479809,205,42.72533445600228,36.876563531734156,48.5741053802704,,
08,061,1460,,,,,,
08,063,7710,7,90.79118028534371,23.53213268888979,158.05022788179764,,
08,065,6817,3,44.007627988851404,-5.7916911080387194,93.80694708574153,,
08,067,46998,16,34.044001872420104,19.459088585985626,55.28532617890326,,
08,069,325068,124,38.14586486519744,31.43168927661484,44.86004045378004,,
08,071,11718,5,42.66939750810718,5.268021540368764,80.0707734758456,,
08,073,4846,3,61.90672719768881,-8.147329402290538,131.96078379766817,,
08,075,18165,17,93.58656757500688,54.51762438539658,149.8411605610053,,
08,077,147822,77,52.0896754204381,41.10835725023781,65.10315683736037,,
08,079,538,,,,,,
08,081,14223,5,35.15432749771497,4.340200830348113,65.96845416508182,,
08,083,24206,18,74.36172849706684,44.07147310749206,117.52359029797564,,
08,085,38901,25,64.26570011053701,41.58937263265553,94.86885092293352,,
08,087,33159,19,57.29967731234356,34.49814881138374,89.48054395966585,,
08,089,19401,11,56.698108344930674,28.30349140372578,101.44857746148114,,
08,091,3121,1,32.04101249599487,-30.759371996155075,94.84139698814482,,
08,093,11678,9,77.06799109436547,26.716903579380038,127.41907860935089,,
08,095,4915,2,40.69175991861648,-15.704142060046102,97.08766189727905,,
08,097,11244,3,26.680896478121667,-3.5113801390519335,56.87317309529527,,
08,099,14030,11,78.40342124019956,39.13870539726898,140.28537785674948,,
08,101,165166,123,74.47053267621665,61.309560349852596,87.63150500258071,,
08,103,6942,3,43.2152117545376,-5.687403959017566,92.11782746809277,,
08,105,10657,14,131.36905320446655,71.82068383504362,220.41494906479852,,
08,107,19549,6,30.692107013146455,6.133306584198536,55.25090744209437,,
08,109,5642,5,88.62105636299185,10.941275506919752,166.30083721906396,,
08,111,396,,,,,,
08,113,5747,4,69.60153123368714,1.392030624673751,137.81103184270052,,
08,115,1927,1,51.89413596263622,-49.81837052413076,153.6066424494032,,
08,117,21050,6,28.503562945368174,5.695962489999864,51.31116340073648,,
08,119,17918,11,61.390780221006814,30.646056296667258,109.84506369741018,,
08,121,4798,5,104.21008753647354,12.86591838475222,195.55425668819487,,
08,123,390593,188,48.131942968768,41.251592825889844,55.01229311164616,,
08,125,11944,4,33.48961821835231,0.6697923643670478,66.30944407233758,,
09,000,3310669,1236,37.333844005546915,35.25247278847604,39.41521522261779,,
09,001,942535,282,29.919313341149135,26.427241744599037,33.41138493769923,,U
09,003,834288,367,43.989605507930115,39.48897762416464,48.49023339169559,,U
09,005,143924,50,34.74055751646702,25.785111404256316,45.80109409433925,,U
