statecode,countycode,v155_rawvalue,v155_numerator,v155_denominator,v155_cilow,v155_cihigh,v155_sourceflag,v155_flag_CT
06,079,0.5,,,,,,
06,081,0.54,,,,,,
06,083,0.5,,,,,,
06,085,0.52,,,,,,
06,087,0.52,,,,,,
06,089,0.36,,,,,,
06,091,0.17,,,,,,
06,093,0.24,,,,,,
06,095,0.38,,,,,,
06,097,0.5,,,,,,
06,099,0.41,,,,,,
06,101,0.46,,,,,,
06,103,0.28,,,,,,
06,105,0.33,,,,,,
06,107,0.4,,,,,,
06,109,0.44,,,,,,
06,111,0.5,,,,,,
06,113,0.49,,,,,,
06,115,0.4,,,,,,
08,000,0.48,,,,,,
08,001,0.43,,,,,,
08,003,0.37,,,,,,
08,005,0.53,,,,,,
08,007,0.35,,,,,,
08,009,0.07,,,,,,
08,011,0.36,,,,,,
08,013,0.56,,,,,,
08,014,0.61,,,,,,
08,015,0.45,,,,,,
08,017,0.22,,,,,,
08,019,0.43,,,,,,
08,021,0.28,,,,,,
08,023,0.31,,,,,,
08,025,0.3,,,,,,
08,027,0.33,,,,,,
08,029,0.32,,,,,,
08,031,0.52,,,,,,
08,033,0.19,,,,,,
08,035,0.54,,,,,,
08,037,0.57,,,,,,
08,039,0.37,,,,,,
08,041,0.43,,,,,,
08,043,0.35,,,,,,
08,045,0.43,,,,,,
08,047,0.45,,,,,,
08,049,0.4,,,,,,
08,051,0.46,,,,,,
08,053,0.09,,,,,,
08,055,0.28,,,,,,
08,057,0.24,,,,,,
08,059,0.52,,,,,,
08,061,0.26,,,,,,
08,063,0.29,,,,,,
08,065,0.44,,,,,,
08,067,0.48,,,,,,
08,069,0.56,,,,,,
08,071,0.25,,,,,,
08,073,0.41,,,,,,
08,075,0.41,,,,,,
08,077,0.48,,,,,,
08,079,0.42,,,,,,
08,081,0.37,,,,,,
08,083,0.37,,,,,,
08,085,0.42,,,,,,
08,087,0.33,,,,,,
08,089,0.41,,,,,,
08,091,0.49,,,,,,
08,093,0.43,,,,,,
08,095,0.24,,,,,,
08,097,0.59,,,,,,
08,099,0.31,,,,,,
08,101,0.47,,,,,,
08,103,0.21,,,,,,
08,105,0.27,,,,,,
08,107,0.59,,,,,,
08,109,0.27,,,,,,
08,111,0.6,,,,,,
08,113,0.42,,,,,,
08,115,0.12,,,,,,
08,117,0.58,,,,,,
08,119,0.38,,,,,,
08,121,0.14,,,,,,
08,123,0.49,,,,,,
08,125,0.07,,,,,,
09,000,0.55,,,,,,
09,001,0.56,,,,,,A
09,003,0.56,,,,,,A
09,005,0.56,,,,,,A
09,007,0.59,,,,,,A
09,009,0.54,,,,,,A
09,011,0.53,,,,,,A
09,013,0.58,,,,,,A
09,015,0.52,,,,,,A
09,110,,,,,,,U
09,120,,,,,,,U
09,130,,,,,,,U
09,140,,,,,,,U
09,150,,,,,,,U
09,160,,,,,,,U
09,170,,,,,,,U
09,180,,,,,,,U
09,190,,,,,,,U
10,000,0.56,,,,,,
10,001,0.52,,,,,,
10,003,0.57,,,,,,
10,005,0.56,,,,,,
11,000,0.43,,,,,,
11,001,0.43,,,,,,
12,000,0.44,,,,,,
12,001,0.46,,,,,,
12,003,0.35,,,,,,
12,005,0.39,,,,,,
12,007,0.35,,,,,,
12,009,0.39,,,,,,
12,011,0.4,,,,,,
12,013,0.2,,,,,,
12,015,0.47,,,,,,
12,017,0.42,,,,,,
12,019,0.36,,,,,,
12,021,0.54,,,,,,
12,023,0.37,,,,,,
12,027,0.34,,,,,,
12,029,0.28,,,,,,
12,031,0.42,,,,,,
12,033,0.36,,,,,,
12,035,0.42,,,,,,
12,037,0.32,,,,,,
12,039,0.31,,,,,,
12,041,0.33,,,,,,
12,043,0.39,,,,,,
12,045,0.36,,,,,,
12,047,0.34,,,,,,
12,049,0.32,,,,,,
12,051,0.29,,,,,,
12,053,0.39,,,,,,
12,055,0.38,,,,,,
12,057,0.42,,,,,,
12,059,0.33,,,,,,
12,061,0.49,,,,,,
12,063,0.32,,,,,,
12,065,0.28,,,,,,
12,067,0.3,,,,,,
12,069,0.49,,,,,,
12,071,0.5,,,,,,
12,073,0.4,,,,,,
12,075,0.35,,,,,,
12,077,0.17,,,,,,
12,079,0.33,,,,,,
12,081,0.48,,,,,,
12,083,0.41,,,,,,
12,085,0.49,,,,,,
12,086,0.32,,,,,,
12,087,0.41,,,,,,
12,089,0.48,,,,,,
12,091,0.36,,,,,,
12,093,0.35,,,,,,
12,095,0.41,,,,,,
12,097,0.37,,,,,,
12,099,0.53,,,,,,
12,101,0.43,,,,,,
12,103,0.46,,,,,,
12,105,0.43,,,,,,
12,107,0.34,,,,,,
12,109,0.5,,,,,,
12,111,0.43,,,,,,
12,113,0.35,,,,,,
12,115,0.52,,,,,,
12,117,0.44,,,,,,
12,119,0.49,,,,,,
12,121,0.32,,,,,,
12,123,0.31,,,,,,
12,125,0.34,,,,,,
12,127,0.43,,,,,,
12,129,0.32,,,,,,
12,131,0.38,,,,,,
12,133,0.31,,,,,,
13,000,0.45,,,,,,
