statecode,countycode,v149_numerator,v149_denominator,v149_rawvalue,v149_cilow,v149_cihigh,relative_standard_error,v149_sourceflag,v149_flag_CT
05,091,430,2493,0.17248295226634577,0.06721909807789979,0.2777468064547918,0.3113701809347364,,
05,093,,,,,,0.3615146188093656,,
05,095,,,,,,7.3365185519162655,,
05,097,,,,,,1.6642309050912298,,
05,099,,,,,,1.3594928717889239,,
05,101,,,,,,0.5793936233830793,,
05,103,,,,,,1.5276259318033856,,
05,105,,,,,,0.6220155412954022,,
05,107,,,,,,0.6882950363637104,,
05,109,,,,,,0.6086421382030891,,
05,111,163,1143,0.1426071741032371,0.05179480049842236,0.23341954770805182,0.32489840688087906,,
05,113,179,928,0.19288793103448276,0.08178138343722248,0.30399447863174306,0.2938857489746253,,
05,115,233,4303,0.05414826864977922,0.027822867325962883,0.08047366997359556,0.24804721445296865,,
05,117,,,,,,0.4521588458345358,,
05,119,2559,18912,0.13531091370558376,0.09991142243058392,0.1707104049805836,0.1334775181218742,,
05,121,,,,,,0.811831920242122,,
05,123,,,,,,0.518782254265911,,
05,125,761,5959,0.12770599093807686,0.07602457125640494,0.17938741061974878,0.20647481823264435,,
05,127,,,,,,0.5346194229236853,,
05,129,,,,,,1.354746768389882,,
05,131,807,6753,0.11950244335850733,0.07158432196102324,0.16742056475599143,0.20458176782060672,,
05,133,,,,,,0.5932034685726612,,
05,135,,,,,,0.4399582783268323,,
05,137,,,,,,3.4048305095198947,,
05,139,,,,,,0.40705115120915863,,
05,141,,,,,,0.5651579694273201,,
05,143,1144,18539,0.06170775122714278,0.04156669279639305,0.08184880965789251,0.1665277054408401,,
05,145,265,4944,0.05360032362459547,0.02145837771494978,0.08574226953424116,0.3059487496674784,,
05,147,,,,,,0.490749689942019,,
05,149,,,,,,2.8775445383266605,,
06,000,134377,2057577,0.06530836999052769,0.06348647802445614,0.06713026195659924,0.014233041147991647,,
06,001,3629,77758,0.04667043905450243,0.03891314332482867,0.054427734784176195,0.08480322927944009,,
06,003,,,,,,1.1772558841723046,,
06,005,,,,,,0.5542062388766218,,
06,007,911,12247,0.07438556381154568,0.050556147241165764,0.0982149803819256,0.1634438858047015,,
06,009,,,,,,0.6194406558103465,,
06,011,,,,,,0.5893539897911767,,
06,013,3093,59882,0.05165158144350556,0.04220644337595618,0.06109671951105494,0.09329720134355263,,
06,015,,,,,,0.596583007420303,,
06,017,583,8700,0.06701149425287356,0.03302305966399878,0.10099992884174834,0.25877706875346607,,
06,019,5023,61067,0.08225391782795946,0.07006378859650246,0.09444404705941646,0.07561285655143324,,
06,021,190,1720,0.11046511627906977,0.044337456897695554,0.17659277566044398,0.30542313140699157,,
