statecode,countycode,v058_numerator,v058_denominator,v058_rawvalue,v058_cilow,v058_cihigh,v058_flag_CT
13,053,3834,9565,0.4008363826450601,,,
13,055,14738,24965,0.5903464850791108,,,
13,057,48786,266620,0.18297952141624785,,,
13,059,7623,128671,0.05924411872139021,,,
13,061,2848,2848,1,,,
13,063,1562,297595,0.005248744098523161,,,
13,065,6749,6749,1,,,
13,067,40,766149,5.220916558006341e-5,,,
13,069,28834,43092,0.669126520003713,,,
13,071,26681,45898,0.5813107324937906,,,
13,073,23319,156010,0.14947118774437537,,,
13,075,10195,17229,0.5917348656335248,,,
13,077,65614,146158,0.44892513581192955,,,
13,079,12130,12130,1,,,
13,081,9197,20128,0.45692567567567566,,,
13,083,15371,16251,0.9458494861854655,,,
13,085,18598,26798,0.6940070154489141,,,
13,087,15510,29367,0.5281438349167433,,,
13,089,1207,764382,0.0015790534052345555,,,
13,091,13705,19925,0.6878293601003764,,,
13,093,11208,11208,1,,,
13,095,12311,85790,0.14350157360997784,,,
13,097,22322,144237,0.15475918107004444,,,
13,099,10854,10854,1,,,
13,101,3697,3697,1,,,
13,103,48066,64769,0.7421142830675169,,,
13,105,13937,19637,0.7097316290675765,,,
13,107,15517,22768,0.6815267041461701,,,
13,109,10774,10774,1,,,
13,111,25319,25319,1,,,
13,113,21612,119194,0.1813178515697099,,,
13,115,38181,98584,0.38729408423273554,,,
13,117,19446,251283,0.07738685068229845,,,
13,119,23424,23424,1,,,
13,121,6745,1066710,0.00632318062078728,,,
13,123,24615,31353,0.7850923356616591,,,
13,125,2884,2884,1,,,
13,127,15749,84499,0.18638090391602266,,,
13,129,34478,57544,0.5991589044904768,,,
13,131,15890,26236,0.6056563500533618,,,
13,133,18915,18915,1,,,
13,135,4525,957062,0.004728011351406701,,,
13,137,27312,46031,0.5933392713606048,,,
13,139,52710,203136,0.2594813327032136,,,
13,141,8735,8735,1,,,
13,143,22637,29919,0.7566095123500117,,,
13,145,33694,34668,0.9719049267335872,,,
13,147,19865,25828,0.7691265293479944,,,
13,149,11412,11412,1,,,
13,151,45304,240712,0.18820831533118415,,,
13,153,14690,163633,0.08977406757805577,,,
13,155,9666,9666,1,,,
13,157,47684,75907,0.6281897585202946,,,
13,159,14588,14588,1,,,
13,161,9862,14779,0.6672981933825022,,,
13,163,15709,15709,1,,,
13,165,8674,8674,1,,,
13,167,9189,9189,1,,,
13,169,23645,28347,0.8341270681200833,,,
13,171,11675,18500,0.6310810810810811,,,
13,173,9877,9877,1,,,
13,175,28728,49570,0.5795440790800888,,,
13,177,20682,33163,0.6236468353285288,,,
13,179,15344,65256,0.2351354664705161,,,
13,181,7690,7690,1,,,
13,183,12973,16168,0.8023874319643741,,,
13,185,41482,118251,0.35079618777008226,,,
13,187,26980,33488,0.805661729574773,,,
13,189,12844,21632,0.59375,,,
13,191,10975,10975,1,,,
13,193,12082,12082,1,,,
13,195,27306,30120,0.9065737051792828,,,
13,197,7498,7498,1,,,
13,199,20613,20613,1,,,
13,201,6000,6000,1,,,
13,205,16485,21755,0.7577568375086187,,,
13,207,22879,27957,0.8183639160138785,,,
13,209,8499,8610,0.9871080139372822,,,
13,211,15388,20097,0.7656864208588346,,,
13,213,27165,39973,0.679583719010332,,,
13,215,7773,206922,0.037564879519819065,,,
13,217,38216,112483,0.33974911764444404,,,
13,219,22607,41799,0.540850259575588,,,
13,221,14825,14825,1,,,
13,223,34541,168661,0.2047954180278784,,,
13,225,11204,27981,0.4004145670276259,,,
13,227,26832,33216,0.8078034682080925,,,
13,229,19463,19716,0.9871677825116657,,,
13,231,18836,18889,0.9971941341521521,,,
