"statecode","countycode","v044_numerator","v044_denominator","v044_rawvalue","v044_cilow","v044_cihigh"
"37","175",124909,26224,4.76315588773643,3.66103457689984,5.86527719857301
"37","177",81544,20133,4.05026573287637,2.90465161055227,5.19587985520048
"37","179",189681,45581,4.16140497136965,3.92789562804714,4.39491431469216
"37","181",101175,21809,4.6391398046678,3.98198165928773,5.29629795004786
"37","183",196168,43827,4.47596230634084,4.35727803281648,4.5946465798652
"37","185",96624,19390,4.98318720990201,4.24191116772512,5.7244632520789
"37","187",86153,15606,5.52050493399974,3.59396258077599,7.4470472872235
"37","189",121139,18513,6.54345594987306,5.70127575175841,7.38563614798772
"37","191",109305,25676,4.25708833151581,3.88413308378897,4.63004357924266
"37","193",100014,25049,3.99273424088786,3.57953511720292,4.4059333645728
"37","195",108490,19441,5.58047425543954,5.04981153376026,6.11113697711881
"37","197",116599,25110,4.64352847471127,3.99034715543144,5.2967097939911
"37","199",110412,21102,5.23230025589991,3.96115411082093,6.5034464009789
"38","000",143796,32283,4.45423287798532,4.30966164567558,4.59880411029506
"38","001",122776,20594,5.96173642808585,3.71317483644464,8.21029801972706
"38","003",130891,25766,5.07998913296592,4.13473207871155,6.0252461872203
"38","005",116933,17329,6.74782157077731,3.96017233876664,9.53547080278798
"38","007",151395,32313,4.6852659920156,2.1130534891804,7.2574784948508
"38","009",143750,33882,4.24266572221238,3.31994141226016,5.1653900321646
"38","011",137130,39314,3.48807040748843,2.84020360860675,4.1359372063701
"38","013",198900,43583,4.56370603216851,2.62393838322892,6.50347368110809
"38","015",155358,37245,4.17124446234394,3.82963748496577,4.5128514397221
"38","017",145505,33026,4.40577121056138,4.11133227710244,4.70021014402031
"38","019",146868,35493,4.13794269292537,2.74729986239896,5.52858552345177
"38","021",133792,28890,4.63108341986847,3.63153885073291,5.63062798900402
"38","023",169444,42632,3.97457309063614,3.12095400240242,4.82819217886986
"38","025",181313,41435,4.37584167973935,3.59434694510585,5.15733641437285
"38","027",104900,24197,4.3352481712609,3.28922979168702,5.38126655083478
"38","029",121950,22333,5.46052926163077,4.3204976147388,6.60056090852274
"38","031",136818,28672,4.77183314732143,3.04572432352859,6.49794197111427
"38","033",143500,35857,4.00200797612739,2.55562019141805,5.44839576083674
"38","035",130370,30485,4.27652944070855,3.98126849838653,4.57179038303056
"38","037",110676,19790,5.59252147549267,3.52886303635531,7.65617991463004
"38","039",141357,26520,5.3302036199095,3.17438838506787,7.48601885475114
"38","041",125500,23607,5.31621976532384,4.19982590806163,6.43261362258606
"38","043",108638,24500,4.43420408163265,2.7223236772302,6.14608448603511
"38","045",134917,31500,4.28307936507936,3.71481554265943,4.8513431874993
"38","047",103840,24469,4.24373697331317,2.85021516423621,5.63725878239014
"38","049",139286,30636,4.54648126387257,3.57687096960125,5.51609155814389
"38","051",111015,20738,5.35321631787058,4.08324160349112,6.62319103225004
"38","053",177859,46741,3.80520314071158,2.62747102078573,4.98293526063744
"38","055",145756,39008,3.73656685808039,3.14922527822263,4.32390843793816
"38","057",147404,33540,4.3948717948718,3.46123313677482,5.32851045296877
"38","059",147853,39472,3.74576915281719,2.99513372948913,4.49640457614525
"38","061",146583,32262,4.54351869071973,3.71488877482057,5.37214860661889
"38","063",121603,24945,4.87484465824815,3.63685694719663,6.11283236929967
"38","065",166000,41038,4.04503143428042,2.85047001228532,5.23959285627553
"38","067",134000,30057,4.4581960940879,3.80900257145792,5.10738961671788
"38","069",124250,28750,4.32173913043478,2.87830942051567,5.76516884035389
"38","071",127159,24535,5.18275932341553,4.24752029108268,6.11799835574838
"38","073",133714,31829,4.20101165603695,3.43597400914795,4.96604930292594
"38","075",130667,39900,3.27486215538847,2.41032895965596,4.13939535112098
"38","077",138610,30469,4.54921395516755,3.69707859417809,5.40134931615701
"38","079",119000,16040,7.41895261845386,5.10053573318941,9.73736950371832
"38","081",134889,39404,3.42323114404629,2.85938713991041,3.98707514818217
"38","083",116588,32762,3.55863500396801,2.47089021654747,4.64637979138855
"38","085",92444,13074,7.07082759675692,5.07656157960486,9.06509361390899
"38","087",136250,21413,6.36295708214636,3.02566403068964,9.70025013360308
"38","089",139512,31424,4.43966395112016,3.25955176876044,5.61977613347989
"38","091",150643,28660,5.25621074668528,4.37476444201784,6.13765705135271
"38","093",130602,21829,5.98295844976866,4.31669235793919,7.64922454159812
"38","095",133031,19784,6.72417104731096,4.64406342938104,8.80427866524088
"38","097",144986,40009,3.62383463720663,2.73815118849937,4.50951808591388
"38","099",123263,31379,3.92820038879505,3.2233061073834,4.63309467020671
"38","101",144413,37375,3.86389297658863,3.38000688531905,4.34777906785821
"38","103",123850,24013,5.15762295423312,4.05482028960174,6.26042561886451
"38","105",169255,38525,4.39338092147956,3.4840032580067,5.30275858495241
"39","000",136245,29320,4.64682810368349,4.60577631656109,4.6878798908059
"39","001",105636,19336,5.46317749275962,4.71263266556381,6.21372231995543
"39","003",116739,27865,4.18944912973264,3.91169364085081,4.46720461861447
"39","005",111933,30475,3.6729450369155,3.35357542881974,3.99231464501127
"39","007",105799,24581,4.30409666002197,3.96155294804544,4.6466403719985
"39","009",110506,19670,5.61799694966955,4.91528334294025,6.32071055639884
"39","011",131729,36245,3.63440474548214,3.31191277549555,3.95689671546872
"39","013",113181,26046,4.3454273208938,3.95723073062841,4.7336239111592
"39","015",124659,24559,5.0758988558166,4.14976832444905,6.00202938718416
"39","017",153048,33837,4.52309601915063,4.27961296549977,4.7665790728015
"39","019",115296,28352,4.0665914221219,3.5994694638033,4.53371338044049
"39","021",125099,35198,3.55415080402296,3.19171229995937,3.91658930808654
"39","023",117476,26990,4.35257502778807,4.02761586038809,4.67753419518805
"39","025",158008,36246,4.35932240798985,4.09947562063298,4.61916919534672
"39","027",120552,27991,4.30681290414776,3.80870476024998,4.80492104804554
"39","029",110373,23873,4.6233401750932,4.2811508721176,4.9655294780688
"39","031",103906,22420,4.63452274754683,4.05552271281824,5.21352278227543
"39","033",109459,26427,4.14193816929655,3.75155191948923,4.53232441910388
"39","035",131798,24332,5.41665296728588,5.2721340523987,5.56117188217306
"39","037",116477,28555,4.07904044825775,3.58000386210142,4.57807703441407
"39","039",124791,33930,3.67789566755084,3.39408566648692,3.96170566861476
"39","041",231761,58717,3.94708517124512,3.69785241505586,4.19631792743439
"39","043",128978,27949,4.61476260331318,4.19332064269481,5.03620456393155
"39","045",154982,38502,4.02529738714872,3.75779058954572,4.29280418475172
"39","047",115592,25791,4.48187352177116,3.82520406832378,5.13854297521854
"39","049",146181,32612,4.48242978044891,4.34591239011735,4.61894717078048
"39","051",135300,35627,3.79768153366829,3.37393377694758,4.22142929038899
"39","053",114504,23121,4.95238095238095,4.1271371165265,5.7776247882354
"39","055",191092,46810,4.08229010895108,3.81492474099023,4.34965547691193
"39","057",165540,36253,4.56624279369983,4.29757121729919,4.83491437010048
"39","059",105866,24637,4.29703291796891,3.63997620480551,4.95408963113231
