statecode,countycode,v015_denominator,v015_numerator,v015_rawvalue,v015_cilow,v015_cihigh,v015_sourceflag,v015_flag_CT
12,061,1135046,48,4.228903498184215,3.1180596049396447,5.606912511222212,,
12,063,333661,36,10.789394025672763,7.556758931165236,14.937069207739649,,
12,065,,,,,,,
12,067,,,,,,,
12,069,2675527,132,4.9336074724717784,4.091953264742644,5.775261680200913,,
12,071,5500180,255,4.636211905792174,4.067163437043228,5.20526037454112,,
12,073,2058935,142,6.896769446339977,5.762391937379594,8.03114695530036,,
12,075,300805,14,4.654177955818554,2.5444823976664614,7.808919772555502,,
12,077,,,,,,,
12,079,129183,10,7.740956627420017,3.7120895908381404,14.235894848407128,,
12,081,2877821,129,4.4825581577172455,3.70901036876383,5.256105946670661,,
12,083,2645711,215,8.12635998414037,7.040102208242482,9.212617760038258,,
12,085,1129186,45,3.9851716192017963,2.9068115251370865,5.332473170669739,,
12,086,18961101,1481,7.810727868597926,7.412923041192682,8.20853269600317,,
12,087,544660,24,4.406418683215217,2.823275594808957,6.556401717356371,,
12,089,641880,31,4.8295631582227205,3.2814538510534446,6.855179395408604,,
12,091,1481998,78,5.263164997523614,4.16031352302907,6.568668112296358,,
12,093,289712,18,6.213066769757552,3.6822571313578756,9.819324110678187,,
12,095,9874356,721,7.301742007276221,6.768757085506919,7.834726929045524,,
12,097,2744847,119,4.335396472007365,3.556443191744895,5.114349752269835,,
12,099,10511726,645,6.136004686575735,5.662458987335999,6.609550385815471,,
12,101,4015489,138,3.4366922683638284,2.8632929477838784,4.010091588943778,,
12,103,6777665,333,4.91319650646646,4.3854831468041935,5.4409098661287265,,
12,105,5223075,255,4.882181473557243,4.282942709640666,5.481420237473821,,
12,107,521816,47,9.007006301071643,6.618009445295996,11.977408960370507,,
12,109,1960877,53,2.7028722352294405,2.024636778969689,3.5354234319237885,,
12,111,2375986,156,6.565695252413104,5.535369646381683,7.596020858444525,,
12,113,1322501,50,3.7807154777198657,2.806119899906455,4.984402028001251,,
12,115,3101400,91,2.934158767008448,2.3624016088486193,3.6024967729589115,,
12,117,3309624,139,4.199872855647651,3.501664865851797,4.898080845443504,,
12,119,957530,33,3.446367215648596,2.372320613738456,4.839980916438053,,
12,121,313675,15,4.782019606280386,2.676460072617618,7.887214113807553,,
12,123,151305,15,9.913750371765639,5.548650826333112,16.35122360231707,,
12,125,,,,,,,
12,127,3934972,224,5.692543682648822,4.947059498458751,6.438027866838892,,
12,129,238956,12,5.021845025862502,2.594860605601959,8.77215263403177,,
12,131,540197,25,4.627941288085642,2.9949595884148423,6.831754285479253,,
12,133,177304,14,7.896042954473672,4.316840159444006,13.248218383023268,,
13,000,75017963,7008,9.341762585582336,9.123042911248046,9.560482259916625,,
13,001,,,,,,,
13,003,58064,10,17.222375310002757,8.258798388213755,31.672561384020703,,
13,005,,,,,,,
