statecode,countycode,v128_race_white,v128_race_white_cilow,v128_race_white_cihigh,sourceflag.x,v128_race_black,v128_race_black_cilow,v128_race_black_cihigh,sourceflag.y,v128_race_aian,v128_race_aian_cilow,v128_race_aian_cihigh,sourceflag.x.x,v128_race_asian,v128_race_asian_cilow,v128_race_asian_cihigh,sourceflag.y.y,v128_race_nhopi,v128_race_nhopi_cilow,v128_race_nhopi_cihigh,sourceflag.x.x.x,v128_race_tom,v128_race_tom_cilow,v128_race_tom_cihigh,sourceflag.y.y.y,v128_race_hispanic,v128_race_hispanic_cilow,v128_race_hispanic_cihigh,sourceflag,v128_race_flag_CT
04,019,44.76654849911072,37.554164765468954,51.978932232752484,,114.36974103422922,82.42764951795249,154.59466486531775,,99.61813049975095,67.21193432316424,142.21107552650724,,,,,,,,,,53.35467520341469,32.5904217297691,82.40196852787673,,54.7160081719736,48.28397790869811,61.148038435249084,,
04,021,54.19026200991682,43.568970655973125,64.81155336386051,,125.97929215385221,86.16974257424732,177.8451717626096,,87.90350148947599,52.09718601552731,138.9254298360501,,,,,,,,,,62.54811393379523,33.30423638858642,106.95917974479829,,71.7957255530352,59.81687582254874,83.77457528352166,,
04,023,,,,,,,,,,,,,,,,,,,,,,,,,27.84573463014897,15.22352223939495,46.72041116581254,,
04,025,69.63077123042216,54.76901867167834,87.28277469230886,,,,,,,,,,,,,,,,,,,,,,49.05367289375792,31.42961381409979,72.98797693200589,,
04,027,61.09268633269332,37.81733573071562,93.38666065905448,,,,,,,,,,,,,,,,,,,,,,65.10347182940755,53.550856701021885,76.65608695779322,,
05,000,66.85842069120524,63.2113089980233,70.50553238438718,,135.25469946623346,125.54872775145574,144.96067118101118,,,,,,53.656704405215436,36.20195314235287,76.59828190303816,,96.33447329126729,58.84359898561701,148.78078080378884,,41.202804960183826,30.772225506486457,54.03199694217574,,47.55884800823059,40.90060928707831,54.21708672938287,,
05,001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,003,97.87347628792598,48.85808672690488,175.12268452088225,,,,,,,,,,,,,,,,,,,,,,,,,,
05,005,47.10632570659489,25.75346660935599,79.03641023497839,,,,,,,,,,,,,,,,,,,,,,,,,,
05,007,47.96279250036335,38.981791024754315,58.392978902744765,,177.0956316410862,91.50789711809647,309.3504286921038,,,,,,,,,,,,,,,,,,36.03558824991302,24.13359900783828,51.75311575946442,,
05,009,79.6107916850951,52.46401336212523,115.8295221735577,,,,,,,,,,,,,,,,,,,,,,,,,,
05,011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,015,93.73169302870534,53.57576129842721,152.21439717376072,,,,,,,,,,,,,,,,,,,,,,,,,,
05,017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,019,,,,,204.15738678544915,101.9146319086273,365.2939590442085,,,,,,,,,,,,,,,,,,,,,,
05,021,98.1836033382425,50.732900578646834,171.50699597592006,,,,,,,,,,,,,,,,,,,,,,,,,,
05,023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,027,89.84725965858041,46.42539015215795,156.94508122324763,,118.16521645719197,58.98765030869953,211.43021284028313,,,,,,,,,,,,,,,,,,,,,,
05,029,83.41353865896696,44.41419628491371,142.63969148642207,,,,,,,,,,,,,,,,,,,,,,,,,,
05,031,55.562016255120106,40.210506663523134,74.84167126718046,,156.63669684533693,116.25877553166212,206.50595740840458,,,,,,,,,,,,,,,,,,,,,,
05,033,69.39341987100988,48.05696053672193,96.97034879419361,,,,,,,,,,,,,,,,,,,,,,,,,,
05,035,87.05384902375327,47.59314933652904,146.06156648324574,,168.63406408094434,128.37206284818203,217.52565627969182,,,,,,,,,,,,,,,,,,,,,,
05,037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,045,54.570831890354604,40.75610742106774,71.56238573274238,,89.06585634201289,51.8841434987546,142.60306394879558,,,,,,,,,,,,,,,,,,,,,,
05,047,99.35748824269723,55.60963193206143,163.87506704302737,,,,,,,,,,,,,,,,,,,,,,,,,,
05,049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,051,86.93035541141462,64.92374736778434,113.99759560813283,,198.6294567484358,121.32803243027061,306.7670861324322,,,,,,,,,,,,,,,,,,,,,,
05,053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
