statecode,countycode,v001_race_white,v001_race_white_cilow,v001_race_white_cihigh,v001_race_white_flag2,v001_race_black,v001_race_black_cilow,v001_race_black_cihigh,v001_race_black_flag2,v001_race_aian,v001_race_aian_cilow,v001_race_aian_cihigh,v001_race_aian_flag2,v001_race_asian,v001_race_asian_cilow,v001_race_asian_cihigh,v001_race_asian_flag2,v001_race_nhopi,v001_race_nhopi_cilow,v001_race_nhopi_cihigh,v001_race_nhopi_flag2,v001_race_tom,v001_race_tom_cilow,v001_race_tom_cihigh,v001_race_tom_flag2,v001_race_hispanic,v001_race_hispanic_cilow,v001_race_hispanic_cihigh,v001_race_hispanic_flag2,v001_race_flag_CT
02,070,,,,2,,,,2,26798.666697255543,20349.3511713042,34643.49110663783,,,,,2,,,,2,,,,2,,,,2,
02,090,7532.82808021793,6784.014415168152,8281.641745267707,,6196.086213991456,4009.7803023155643,9146.645540774567,,24543.2018278291,20673.184984891825,28413.218670766375,,6110.903297356731,3253.798638570905,10449.830747524822,1,,,,2,12374.609239316977,9092.397417097738,16455.60696082163,,4431.915556463446,2895.074383736923,6493.783145131073,,
02,100,12481.10018842426,5985.172675886609,22953.187626121733,1,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,
02,105,,,,2,,,,2,21587.66406487052,9320.021096010896,42536.3041845652,1,,,,2,,,,2,,,,2,,,,2,
02,110,5101.922091136127,3896.1661211307855,6307.678061141469,,,,,2,17195.35459365523,12634.4997785207,22866.176319016224,,,,,2,,,,2,20554.732529310604,14992.762952647325,27503.849323506678,,,,,2,
02,122,8012.6044648562765,7030.448774456847,8994.760155255706,,,,,2,15588.353228460845,11168.953672968895,20007.752783952794,,,,,2,,,,2,16895.33787743111,11700.512629865203,23609.5412218571,,,,,2,
02,130,8783.164299003438,6024.694401050976,11541.6341969559,,,,,2,24424.634995912773,16357.561386710413,35077.850084192556,,,,,2,,,,2,,,,2,,,,2,
02,150,5796.258666009105,3910.711381808651,8274.519656088645,,,,,2,30821.690680540225,19946.17310130666,45498.89557470981,1,5792.00817283201,2500.5780244146868,11412.56509915714,1,,,,2,,,,2,,,,2,
02,158,,,,2,,,,2,25836.4412700247,21223.1956118734,30449.686928176,,,,,2,,,,2,,,,2,,,,2,
02,164,,,,2,,,,2,34279.65086449302,20638.58911943307,53531.92112028685,1,,,,2,,,,2,,,,2,,,,2,
02,170,8298.444288143657,7613.748018193477,8983.140558093837,,10957.328478497358,5661.811518488649,19140.24773356948,1,18577.977172297666,14858.428757787196,22297.525586808137,,,,,2,,,,2,7123.960738148748,4989.534519286338,9862.56450786287,,4176.720203857624,2514.658404632124,6522.4659777969855,1,
02,180,,,,2,,,,2,21626.86136927835,17674.45629902205,25579.26643953465,,,,,2,,,,2,,,,2,,,,2,
02,185,,,,2,,,,2,18499.939881222792,14306.28396012392,22693.595802321666,,,,,2,,,,2,,,,2,,,,2,
02,188,,,,2,,,,2,23340.05659507511,18697.458471401307,27982.654718748916,,,,,2,,,,2,,,,2,,,,2,
02,195,4787.179879472895,2389.742947726835,8565.587159808156,1,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,
02,198,12626.085306732091,7066.724099698517,20824.80759857356,1,,,,2,18402.284430798747,12503.459450739958,26120.57383361432,,,,,2,,,,2,,,,2,,,,2,
02,220,4667.530475073016,3075.9319940063338,6791.0117864013855,,,,,2,23246.166315280603,14568.248667439508,35194.97516438415,1,,,,2,,,,2,,,,2,,,,2,
02,230,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,
02,240,7187.666703113031,5006.473215343692,9996.304428397958,,,,,2,27225.223735681302,15237.75105416413,44903.86626972845,1,,,,2,,,,2,,,,2,,,,2,
02,275,14087.940776355073,5664.082856139119,29026.5423331798,1,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,
02,282,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,
02,290,5431.446301585521,1479.8863132022066,13906.659733345392,1,,,,2,30236.02118136887,23196.861551733593,37275.180811004146,,,,,2,,,,2,,,,2,,,,2,
04,000,8344.732668401131,8233.705812702896,8455.759524099367,,13591.735609623502,13148.148206637872,14035.323012609131,,25539.745072395875,24870.968205402467,26208.521939389284,,3508.4889922301463,3252.251992247953,3764.72599221234,,14978.886799751755,12738.973656466182,17218.799943037327,,12099.796700637095,11415.034578280984,12784.558822993205,,8784.791781753554,8653.07867379239,8916.504889714719,,
04,001,15764.509075364573,12896.340243636487,18632.67790709266,,,,,2,32181.951551968574,30283.69199160423,34080.211112332916,,,,,2,,,,2,,,,2,12703.99690236392,9116.6075127134991,17234.406285587283,,
04,003,9683.748228837474,8780.579558045893,10586.916899629055,,9759.370953736183,6485.031123367778,14105.008296087663,,,,,2,,,,2,,,,2,11750.305776235533,7604.1783507370365,17345.769283882753,1,8803.091256943997,7813.155611803194,9793.026902084799,,
04,005,6006.336713222195,5335.976138183256,6676.6972882611335,,,,,2,24587.789064219978,22744.33779699118,26431.240331448775,,,,,2,,,,2,16873.36508285202,11384.388565315006,24087.7778386917,,8428.689480076899,6892.57176112021,9964.807199033588,,
04,007,16613.86918484755,14394.238921261593,18833.499448433507,,,,,2,41928.42690489506,36971.51295109066,46885.340858699456,,,,,2,,,,2,,,,2,9757.999305356567,7535.001874912536,11980.996735800598,,
04,009,8560.160723467505,7199.483660396567,9920.837786538443,,,,,2,25053.035221927337,19814.337027604433,30291.73341625024,,,,,2,,,,2,,,,2,10742.803109969915,8770.941017543637,12714.665202396192,,
04,011,13236.006688964702,9270.336361968213,18324.21241422248,,,,,2,,,,2,,,,2,,,,2,,,,2,9417.00125000811,6398.3954665966,13366.681586031686,,
04,012,29299.456650120115,23203.700487438146,35395.212812802085,,,,,2,34678.56617246264,26332.88921172419,44830.088465173365,,,,,2,,,,2,,,,2,13945.158451238694,10282.05899471579,18489.256949182905,,
04,013,7524.5053049987055,7394.316837250576,7654.693772746835,,13996.412695815428,13487.962603032764,14504.862788598093,,18198.34084847626,17159.33825683424,19237.34344011828,,3560.9057298323673,3265.4796886617432,3856.3317710029914,,16556.174851950644,13703.61661851596,19408.733085385327,,12436.540530083841,11585.994879987806,13287.086180179876,,8765.992185748864,8598.94347159192,8933.040899905809,,
04,015,13891.841018093999,13111.182349457476,14672.499686730522,,14196.599741367532,8999.426437532178,21301.870077610685,1,24367.051719072708,18988.610566978103,29745.492871167313,,6986.144686880773,3609.8429042837406,12203.388834410072,1,,,,2,12364.634412054282,8511.245395983111,17364.543836578192,,9781.363165847331,8630.517384758756,10932.208946935907,,
04,017,11751.98327504053,10518.67978605098,12985.28676403008,,,,,2,32475.3091411252,30505.129216828966,34445.48906542143,,,,,2,,,,2,28595.10245723463,19292.995548883657,40821.28679622404,,13115.638688568775,10854.165582755739,15377.111794381812,,
04,019,9213.053189324259,8883.38457688565,9542.721801762867,,14053.371660604089,12645.807851889163,15460.935469319014,,26157.910813935432,23914.809758729803,28401.01186914106,,3283.7057073747537,2596.980982173858,3970.4304325756493,,17388.824192828633,10621.54556594185,26855.62864756307,1,9743.71091026487,8082.780481744486,11404.641338785255,,8922.225010423743,8597.59981364415,9246.850207203335,,
04,021,8287.159088342336,7837.29832245788,8737.019854226792,,11611.629278210545,9942.518641280763,13280.739915140326,,23407.387335855477,21083.217562418704,25731.55710929225,,3432.437085923215,2298.756986477216,4929.552214130753,,,,,2,10593.550714783209,8258.192487840375,13384.314024966245,,8484.046071056986,7956.218734147775,9011.873407966197,,
04,023,7045.654930541106,3950.2125301598185,10141.097330922394,1,,,,2,,,,2,,,,2,,,,2,,,,2,6569.431267867839,5682.2546650357035,7456.607870699974,,
04,025,10508.01618356544,9818.692643738805,11197.339723392075,,9542.195301493695,4930.591555750658,16668.294863214553,1,25217.603300793326,19196.808031953085,32528.870947289524,,,,,2,,,,2,8792.143367602574,5210.78137657593,13895.377042183012,1,7536.773766388917,6474.981850912649,8598.565681865184,,
