statecode,countycode,v155_race_AIAN,v155_race_asian,v155_race_black,v155_race_hispanic,v155_race_white,v155_race_flag_CT
08,025,,,,0.29,0.29,
08,027,,,,,0.33,
08,029,,0.27,,0.23,0.32,
08,031,0.34,0.47,0.35,0.3,0.57,
08,033,,,,,0.19,
08,035,,0.53,0.41,0.4,0.55,
08,037,,0.6,,0.31,0.59,
08,039,,0.3,0.18,0.32,0.37,
08,041,0.36,0.4,0.3,0.33,0.45,
08,043,,0.62,,0.37,0.34,
08,045,,0.44,,0.26,0.44,
08,047,,,,,0.45,
08,049,,,,0.27,0.4,
08,051,,,,0.5,0.47,
08,053,,,,,0.09,
08,055,,,,0.28,0.28,
08,057,,,,,0.24,
08,059,0.32,0.49,0.33,0.39,0.53,
08,061,,,,,0.24,
08,063,,,,0.33,0.28,
08,065,,,,0.32,0.48,
08,067,0.15,,,0.37,0.49,
08,069,0.49,0.52,0.48,0.38,0.56,
08,071,,,,0.23,0.26,
08,073,,,,,0.41,
08,075,,,,0.26,0.42,
08,077,0.2,0.58,0.34,0.4,0.48,
08,079,,,,,0.42,
08,081,,,,0.34,0.37,
08,083,0.49,0.27,,0.36,0.37,
08,085,,0.44,,0.34,0.42,
08,087,,,,0.23,0.34,
08,089,,,,0.37,0.41,
08,091,,,,,0.49,
08,093,,,,0.33,0.43,
08,095,,,,,0.25,
08,097,,0.57,,0.31,0.59,
08,099,,,,0.33,0.31,
08,101,0.44,0.58,0.41,0.43,0.48,
08,103,,,,,0.21,
08,105,,,,0.25,0.28,
08,107,,,,0.58,0.59,
08,109,,,,0.26,0.26,
08,111,,,,,0.59,
08,113,,,,,0.42,
08,115,,,,0.11,0.12,
08,117,,0.65,,0.19,0.58,
08,119,,0.42,,0.17,0.38,
08,121,,,,,0.13,
08,123,,0.49,0.32,0.31,0.51,
08,125,,,,,0.07,
09,000,0.34,0.5,0.35,0.35,0.58,
09,001,,0.54,0.34,0.36,0.59,A
09,003,0.25,0.51,0.36,0.37,0.59,A
09,005,,0.56,0.46,0.44,0.56,A
09,007,,0.45,0.39,0.31,0.6,A
09,009,0.33,0.47,0.35,0.33,0.57,A
09,011,0.19,0.38,0.34,0.33,0.55,A
09,013,,0.55,0.33,0.47,0.58,A
09,015,,0.46,0.33,0.29,0.53,A
09,110,,,,,,U
09,120,,,,,,U
09,130,,,,,,U
09,140,,,,,,U
09,150,,,,,,U
09,160,,,,,,U
09,170,,,,,,U
09,180,,,,,,U
09,190,,,,,,U
10,000,0.52,0.55,0.44,0.43,0.58,
10,001,,0.51,0.45,0.43,0.54,
10,003,,0.58,0.44,0.43,0.6,
10,005,0.54,0.46,0.42,0.41,0.57,
11,000,,0.45,0.32,0.33,0.58,
11,001,,0.45,0.32,0.33,0.58,
12,000,0.33,0.41,0.28,0.27,0.46,
12,001,,0.49,0.33,0.36,0.47,
12,003,,,0.25,0.33,0.36,
12,005,0.5,0.39,0.3,0.27,0.4,
12,007,,,0.3,,0.35,
12,009,0.35,0.36,0.27,0.27,0.4,
12,011,0.2,0.38,0.21,0.26,0.45,
12,013,,,0.2,,0.2,
12,015,,0.47,0.32,0.31,0.48,
12,017,,0.47,0.34,0.36,0.42,
12,019,,0.28,0.3,0.28,0.36,
12,021,0.23,0.53,0.28,0.28,0.56,
12,023,,0.38,0.32,0.31,0.37,
12,027,,,0.16,0.13,0.36,
12,029,,,0.22,,0.28,
12,031,0.54,0.4,0.34,0.32,0.44,
12,033,0.36,0.31,0.28,0.27,0.37,
